Configuracion Inicial|Configuração inicial
Si ACTIVA esta opcion, en las facturas el num. le aparecera asi: 000- 000-00-0000000X|Se você ativar esta opção, nas faturas o num. vai aparecer assim: 000-000-00-0000000X
En algunos paises la normativa indica que el numero de facturas tiene que ir precedido por una serie de identificadores.|Em alguns países, as regulamentações indicam que o número de faturas deve ser precedido por uma série de identificadores.
INFORMACION SOBRE FACTURAS ESPECIALES|INFORMAÇÃO SOBRE FATURAS ESPECIAIS
Moneda|Moeda
Simbolo Moneda|Símbolo de moeda
Formato Hora:|Formato de hora:
Numero de decimales ( 0,1,2)|Número de decimais (0,1,2)
Identificacion Fiscal (Cif, Nif, Ruc, Rut, Rnc, etc.)|Identificação Fiscal (Cif, Nif, Ruc, Rut, Rnc, etc.)
h=12 Horas (AM o PM)|h = 12 horas (AM ou PM)
h=24 Horas |h = 24 horas
Otra Moneda|Outra moeda
Btc 1 BitCoin = |Btc 1 BitCoin =
€ 1 Euro = |€ 1 Euro =
$ 1 Dolar = |$ 1 dólar =
Hasta 8 decimales|Até 8 casas decimais
Numero de credito fiscal|Número de crédito fiscal
Activar linea propina en preticket|Ativar linha de gorjeta no preticket
Guardar Cambios|Guardar mudanças
Ingrese el concepto|Digite o conceito
Activar concepto Propina / Servicio / Otros|Ativar conceito Derrubada / Serviço / Outro
(Opcion utilizada con frecuencia en algunos paises del caribe y sudameria) / No activar en paises en los que no es obligatorio cobrar propina|(Opção usada com freqüência em alguns países do Caribe e Sudameria) / Não ativar em países onde não é obrigatório cobrar dicas
Secuencia de Apertura|Sequência de Abertura
Para impresoras conexion paralela:|Para impressoras de conexão paralela:
Probar / Guardar|Teste / Salvar
* Click para seleccionar la secuencia de apertura|* Clique para selecionar a seqüência de abertura
Marca de Impresora|Marca de Impressora
Modelo de Impresora|Modelo de impressora
Otras secuencias de apertura|Outras sequências de abertura
Nota: Es posible que la impresora realice el corte sin tener que añadir ninguna secuencia de apertura, en ese caso no hace falta que configure esta opcion|Nota: É possível que a impressora faça o corte sem ter que adicionar nenhuma sequência de abertura, nesse caso você não precisa configurar esta opção
* Click para seleccionar la secuencia de corte|* Clique para selecionar a seqüência de corte
Secuencia de Corte|Seqüência de corte
Otras secuencias de Corte de Papel|Outras seqüências de corte de papel
Configuracion de corte automatico al final del ticket:|Configuração automática de corte no final do ticket:
¿Que son comandos adicionales? Despues de instalar los drivers de la impresora en propiedades de la misma encontramos una pestaña de comandos adicionales / desde aqui marcaremos la opcion de apertura de cajon (Open Draw1 o Open Draw2).|Quais são os comandos adicionais? Depois de instalar os drivers de impressora em propriedades do mesmo encontrar uma aba de comandos adicionais / daqui marcamos a opção de abrir gaveta (Open Draw1 ou Open Draw2).
Apertura estandar para impresoras USB|Abertura padrão para impressoras USB
Para impresoras con comandos adicionales: (serie, paralelo, usb)|Para impressoras com comandos adicionais: (série, paralelo, usb)
Para impresoras salida serie:|Para impressoras de saída serial:
Configuracion de Apertura de Cajon|Configuração de abertura do Cajon
Si conoce que tipo de conexion tiene su impresora de tickets seleccione la que le corresponde en caso contrario pruebe cada uno de ellos hasta confirmar cual es el que abre.|Se você souber que tipo de conexão sua impressora de tickets possui, selecione aquela que corresponde a ela. Caso contrário, tente cada uma delas até confirmar qual delas é aberta.
Ayuda|Ajuda
Configuracion de Cajetin|Configuração Cajetin
Courier New|Courier Novo
Seleccione Tamaño Letra: Cuerpo|Selecione o tamanho da letra: corpo
Seleccione Tamaño Letra: Titulo|Selecione o tamanho da letra: título
Seleccione Tipo Letra|Selecione o tipo de letra
Tipo / Tamaño Letra|Tipo / tamanho carta
Nro. de Decimales que quiero utilizar|No. de decimais que eu quero usar
Mi impresora imprime|Minha impressora imprime
Nro. de caracteres de su impresora|Nº de caracteres da sua impressora
caracteres por linea|caracteres por linha
Poblacion:|População:
Direccion:|Endereço:
Tel:|Tel:
CIF / DNI:|CIF / DNI:
Cliente:|Cliente:
Empleado:|Empregado:
Fact. Simpli:|Fato Simpli:
Codigo Barras|Código de barras
Lineas en blanco al final del ticket = |Linhas em branco no final do ticket =
Escriba aqui su comentario del final de ticket|Escreva seu comentário sobre o ticket aqui
** Gracias por su visita **|** Obrigado por sua visita **
Impuestos Incluidos|Impostos incluidos
Varias lineas para descripcion del producto|Várias linhas para descrição do produto
Añadir codigo de barras en descripcion de producto|Adicionar código de barras na descrição do produto
Otras Opciones|Outras opções
Mostrar P. Unitario|Mostrar P. Unitary
Desglose Impuesto|Repartição de impostos
Total en Letras|Total em Letras
Utilizar SubTotal|Use SubTotal
Cuota|Taxa
Base|Base
Tipo IVA|Tipo de IVA
Entrega|Entrega
P. U.|P. U.
Descripcion|Descrição
Uds|Você
WEB|WEB
Puede cambiar|Pode mudar
CIF|CIF
Nombre Empresa|Razão social
Imagen al Principio|Imagem no começo
Datos de Cabecera|Dados do cabeçalho
Clic para cambiar Imagen|Clique para mudar a imagem
Nro Venta/Pie de Ticket|Sem venda / pé de passagem
Diseño Ticket|Ticket Design
Valor de venta en letras|Valor de venda em letras
Diseño de Ticket|Design do bilhete
Pie de Ticket|Pé de ingresso
Detalles del  Ticket|Detalhes do bilhete
Vista Previa|Vista prévia
Cabecera  Ticket|Ticket Header
Datos del  Cliente|Dados do cliente
Clave:|Senha:
Usuario: Director|Usuário: Diretor
Está a punto de realizar la restauración de sus copias de seguridad de sus bases de datos.  Para ello deberá localizar su copia de seguridad en su disco duro o en su modulo de memoria extraible.  Dicha operación demorará unos segundos, una vez finaliz|Você está prestes a restaurar suas cópias de backup de seus bancos de dados. Para fazer isso, você deve localizar sua cópia de backup em seu disco rígido ou módulo de memória removível. Essa operação levará alguns segundos, uma vez terminada
TPV Hosteleria|POS Terminal Hosteleria
Grafica de Envios|Gráficos de envio
Relacion Emails Enviados|Emails de relacionamento enviados
Envio Promocion|Promoção de envio
Crear Plantillas Reservas|Criar reservas de modelos
Envio Puntual|Envio pontual
Crear Plantillas|Crie modelos
Activar Servicio De Correos|Ativar serviço de postagem
Enviados:|Enviado:
Label6|Label6
Saldo:|Equilíbrio:
Su ID Es|Seu ID é
Servicio Correo|Serviço de correio
Le hemos asignado  20 correos gratis|Nós lhe designamos 20 e-mails gratuitos
Su registro se ha realizado con exito|Seu registro foi concluído com sucesso
Nombre de Usuario|Nome de usuário
Correo de Contacto|E-mail de contato
Incluir Logo|Incluir logotipo
Pie de Correo|Foot Mail
Configuracion Correo|Configuração de Correio
Mensaje Enviado|Mensagem enviada
Enviar|Enviar
Envio Puntual de Correo|Envio de email
toolStrip1|toolStrip1
Mensaje|Mensagem
Remitente|Remetente
Asunto|Assunto
Destinatario|Destinatário
Seleccione el intervalo de fechas|Selecione o período
Chart1|Quadro 1
Grafico|Gráfico
Nueva Plantilla|Novo modelo
Plantillas Promociones|Modelos de promoções
Guardado Correctamente|Salvo corretamente
No|Não
Sí|Sim
¿Desea cargar el diseño anterior?|Você quer carregar o desenho anterior?
Nombre Plantilla|Nome do modelo
Plantilla 3|Template 3
Plantilla 2|Template 2
Plantilla 1|Template 1
Plantilla|Template
<---- Texto que aparece en el cuerpo de la promocion|<---- Texto que aparece no corpo da promoção
<---- Escriba el  texto que desea que aparezca en la parte inferior de la promocion|<---- Escreva o texto que você quer que apareça na parte inferior da promoção
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la promocion|<---- Escreva o título ou texto que você quer que apareça no cabeçalho da promoção
Pie de página|Rodapé
Titulo|Título
<---- Haga un click para insertar la imagen|<---- Clique para inserir a imagem
Plantilla Guardada|Modelo salvo
Cuerpo del Mensaje|Corpo da Mensagem
Plantilla Reservas|Reservas de modelos
<---- Texto que se genera automaticamente|<---- Texto gerado automaticamente
<---- Escriba el  texto que desea que aparezca en la parte inferior de la reserva|<---- Escreva o texto que você deseja que apareça na parte inferior da reserva
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la reserva|<---- Digite o título ou texto que você deseja que apareça no cabeçalho da reserva
Configurar Email|Configurar email
Mostrar clientes|Mostrar clientes
Filtrar Clientes para Enviar Email|Filtrar clientes para enviar email
Seleccione una opcion|Selecione uma opção
Menor que|Menos que
Mayor que|Maior do que
Consumo|Consumo
Ingrese un codigo postal|Digite um código postal
Todos los clientes|Todos os clientes
Num. Visita|Número de visita
Cumpleaños|Aniversário
Enviando Emails|Envio de e-mails
Cerrar|Fechar
Ctrl+C para copiar los correos de esta lista para hacer un envio desde la aplicacion de correo electronico (gmail, hotmail, etc...) que desee.|Ctrl + C para copiar os e-mails dessa lista para fazer uma remessa do aplicativo de e-mail (gmail, hotmail, etc ...) que você deseja.
Lista de correos seleccionados|Lista de emails selecionados
Enviar Email a Clientes Seleccionados|Enviar email para clientes selecionados
Lista de clientes|Lista de clientes
 Mostrar Todos| Mostrar todos
Emails Seleccionados|Emails selecionados
Marcar Todos|Marcar tudo
Copiar Emails seleccionados  para envio manual|Copiar emails selecionados para entrega manual
 Mostrar solo con Email Valido| Mostrar apenas com email válido
Clientes Seleccionados|Clientes Selecionados
Cantidad de clientes que cumplen las condiciones|Número de clientes que atendem às condições
Importe|Quantidade
Visitas|Visitas
* Si no pone un correo electronico valido no recibirá respuesta|* Se você não colocar um e-mail válido, você não receberá uma resposta
Telefono:|Telefone:
Email: *|Email: *
Ingrese sus datos para poder responderle|Insira suas informações para poder responder
Formule su Consulta|Faça sua pergunta
Aviso de averia|Aviso de avaria
Pregunta o Consulta|Pergunta ou Consulta
Tipo de Consulta|Tipo de consulta
Si tiene alguna Incidencia / Pregunta sobre nuestro programa utilice esta opcion siguiendo los pasos:|Se você tiver alguma Incidência / Pergunta sobre o nosso programa, use esta opção seguindo os passos:
Aviso de Averia / Consulta|Advertência / Consulta
Asistencia y Sugerencias|Assistência e Sugestões
Si no tiene contratado este servicio nuestra empresa no tiene la obligacion de dar ningun tipo de servicio o ser responsable de algun cambio de su sistema informatico.|Se você não tiver este serviço contratado, nossa empresa não terá a obrigação de fornecer qualquer tipo de serviço ou será responsável por qualquer alteração no seu sistema de computador.
Si la compra de este producto ha superado el año y tiene caducado la asistencia / actualizaciones del programa, y tiene un problema recuerde, primero contratar nuestro servicio de asistencia para una solucion adecuada.|Se a compra deste produto excedeu o ano e expirou atualizações assistência / programas, e tem um problema de lembrar, em primeiro lugar recrutar nosso apoio a uma solução adequada.
Cambio de equipo informatico, cambio de disco duro, formateo de disco duro, etc...|Troca de equipamentos de informática, troca de disco rígido, formato de disco rígido, etc ...
4.- Estimado cliente recuerde que sólo podrá recibir las actualizaciones del programa en caso de tener el contrato de mantenimiento al día.|4.- Prezado cliente, lembre-se de que você só pode receber atualizações do programa se tiver o contrato de manutenção atualizado.
3.- Si se produce alguno de estos casos anteriores, antes de realizar ninguna acción,  pongase en contacto con el departamento técnico de SolverMedia comercial@solvermedia.com para que le ayuden a realizar el cambio.|3.- Se algum desses casos anteriores ocorrer, antes de executar qualquer ação, entre em contato com o departamento técnico da SolverMedia comercial@solvermedia.com para ajudá-lo a fazer a alteração.
2.- La empresa SolverMedia no concederá una nueva licencia a aquellos clientes que por problemas ajenos a SolverMedia hallan perdido el registro del programa, esos problemas pueden venir causados por:|2. A empresa não SolverMedia conceder uma nova licença para clientes que SolverMedia problemas são perdidos fora log do programa, esses problemas podem vir causada por:
1.- La empresa SolverMedia no se responsabiliza de la mala manipulación de su registro de licencia así como del numero asignado para su registro.|1.- A empresa SolverMedia não é responsável pela má manipulação do seu registro de licença, bem como o número atribuído para o seu registro.
La contraseña de direccion es: |A senha do endereço é:
Maximo 8 caracteres|Máximo de 8 caracteres
Confirme la contraseña|Confirme a senha
Ingrese la contraseña nueva|Digite a nova senha
Ingrese la contraseña anterior|Digite a senha anterior
Recordatorio de contraseña de direccion|Endereço lembrete de senha
Cambio de contraseña de direccion|Mudança de senha de endereço
Volver a intentar|Tente novamente
Las respuestas introducidas no son correctas|As respostas inseridas não estão corretas
Para poder recordarle la contraseña de direccion es necesario que responda a las siguientes preguntas|Para poder lembrá-lo da senha do endereço, você precisa responder às seguintes perguntas
Año|Year
Mes|Mês
Dia|Dia
Ingrese el segundo apellido de su madre|Digite o segundo sobrenome da sua mãe
Indique su fecha de nacimiento|Indique sua data de nascimento
Si olvida la contraseña que acaba de introducir podra recuperarla respondiendo a las preguntas anteriores.|Se você esquecer a senha que acabou de inserir, poderá recuperá-la respondendo às perguntas anteriores.
La contraseña y las respuestas de recordatorio se han guardado correctamente.|As respostas de senha e lembrete foram salvas corretamente.
Boletas|Cédulas
Facturas|Faturas
codCliente|codClient
Cliente|Cliente
F.Pago|F. Pagamento
** clic en la lista o introduzca el numero de ticket|** clique na lista ou digite o número do bilhete
Ingrese el numero de ticket / factura|Digite o número do bilhete / fatura
Lista de las ultimas ventas|Lista das últimas vendas
Concepto del gasto|Conceito de gastos
Gastos Del Día|Despesas do dia
Ultimos 50 gastos (clic para modificar)|Últimas 50 despesas (clique para modificar)
ESPACIO|ESPAÇO
BORRAR|DELETE
Deja en Caja :|Deixar na caixa:
Cerrar Ventas/Imprimir|Fechar vendas / impressão
Observaciones de caja:|Observações em dinheiro:
Suma/Conteo de caja del turno actual|Contagem de maiúsculas / minúsculas
Seleccione las monedas de su pais|Selecione as moedas do seu país
Cargar monedas de la Zona Euro|Carregar moedas da Zona do Euro
Valor n|Valor n
Terminal = XXX|Terminal = XXX
Total monedas|Moedas totais
Total tarjetas|Total de cartões
Total otras formas de pago|Total de outros métodos de pagamento
Caja Inicial:|Dinheiro Inicial:
Num total de operaciones de este terminal|Número total de operações deste terminal
Num total operaciones otras formas pago|Num total de operações outras formas de pagamento
Num total operaciones tarjeta|Num total de operações com cartão
Num total operaciones contado|Total de transações contadas
Max. 20|Max. 20
Número de tipos de moneda a utilizar:|Número de tipos de moeda a serem usados:
Seleccione las monedas en circulacion de su pais|Selecione as moedas em circulação do seu país
Tipo 20|Digite 20
Nota: Esta opcion solo esta pensado para aquellos clientes que en su pais el valor de sus monedas es diferente al establecido para la zona Euro.|Nota: Esta opção destina-se apenas àqueles clientes que em seu país o valor de suas moedas é diferente daquele estabelecido para a zona do Euro.
Importe a Retirar|Quantidade para retirada
Retiradas|Retirado
TELEF|TELEF
Borrando|Apagar
Hora Reserva|Reserve Time
Nro comensales|Sem comensais
Todos|Todos
Cena|Jantar
Almuerzo|Almoço
Desayuno|Pequeno almoço
MESAS =|TABELAS =
H O R A S|H O R A S
Seleccione Horario|Selecione Horário
*Clic para seleccionar salon|* Clique para selecionar o quarto
R e s e r v a s|R e s e v v s
Diseñar Plantilla reserva|Livro de modelo de design
Nueva Reserva|Nova Reserva
Hora de Reserva|Tempo de reserva
Nro de Comensales|Número de Diners
Teléfono|Telefone
* Click en la columna de telefono para ver la direccion|* Clique na coluna do telefone para ver o endereço
Resultado de la Búsqueda|Resultado da pesquisa
Movil|Mobile
C. Postal|C. Postal
Limpiar|Limpo
DNI|ID
Puerta:|Porta:
Fijo / Movil|Fixo / Móvel
Piso:|Andar:
C. Postal:|C. Postal:
Número:|Número:
Email:|Email:
Modificar Datos|Modificar dados
Nuevo Cliente|Novo cliente
Activar Precios para este terminal de venta|Ativar Preços para este terminal de vendas
Crear nueva o modificar una lista de precios existente|Criar novo ou modificar uma lista de preços existente
Listas de Precios|Listas de Preços
Listas activa en este terminal|Listas ativas neste terminal
Listas de precios no activa|Listas de preços não ativas
La lista de precios que ha seleccionado esta fuera del rango actual|A lista de preços selecionada está fora do intervalo atual
Nombre (click para seleccionar/desactivar)|Nome (clique para selecionar / desativar)
activa|ativo
Fecha Alta|Data alta
Prod. en Lista|Prod. Na lista
Codigo Precio|Código de preço
C. P.|C. P.
Cif / Dni|CIF / Dni
Realizando cambios|Fazendo mudanças
alturapanel|alturapanel
Los mismos pasos 1, 2 para margen comercial o precio de venta.|Os mesmos passos 1, 2 para margem comercial ou preço de venda.
* Clic sobre el impuesto que desea cambiar|* Clique no imposto que você deseja alterar
De:|De:
Cambio el valor de los impuestos|Alterar o valor dos impostos
Deseo cambiar|Eu quero mudar
a:|um:
Nro. de Productos|No. de produtos
2.-Luego seleccione el proveedor o seleccione la opcion todos.|2.-Em seguida, selecione o provedor ou selecione a opção all.
Con redondeo|Com arredondamento
Sin redondeo|Sem arredondamento
Todos los productos|Todos os produtos
Productos del Proveedor|Produtos do Fornecedor
Coste|Custo
Cambio de Coste / Precio|Mudança de Custo / Preço
1.-Si desea aumentar el coste, solo debe ingresar el porcentaje en la caja del mismo.|1.-Se você quiser aumentar o custo, basta digitar a porcentagem na caixa.
Recuerde que este proceso es irreversible. Confirme y  verifique los porcentajes que está aumentando.|Lembre-se que esse processo é irreversível. Confirme e verifique as porcentagens que estão aumentando.
Este proceso automatiza el aumento de precio, margen comercial y coste de los productos.|Este processo automatiza o aumento de preço, margem comercial e custo dos produtos.
Aumento de Precios|Aumento de preço
Nombre Servidor SQL Server|Nome do servidor SQL Server
Utilizar  SQL   Server . . . . . |Use o SQL Server . . . .
UTILIZAR SQL SERVER|USE SERVIDOR SQL
Más Información|Mais informação
Dirigido para aquellas empresas con volumenes de datos altos o muchas interacciones simultaneas soporta varios PC conectados en red sin problemas de concurrencias y trafico de datos. (si este es su caso nuestro programa funciona perfectamente con este ges|Direcionado para as empresas com altos volumes de dados ou muitas interações simultâneas, suporta vários PCs em rede sem problemas de simultaneidade e tráfego de dados. (Se este é o seu caso, o nosso programa funciona perfeitamente com este ges
SQL SERVER|SERVIDOR SQL
Indicado para empresas con volumen de datos bajos 1 o 2 PC en red.|Indicado para empresas com baixo volume de dados 1 ou 2 PCs na rede.
ACCESS|ACESSO
El Tipo de Base De Datos Que Su Negocio Necesita|O tipo de banco de dados que sua empresa precisa
Pasar a la version Basica o Completa|Vá para a versão básica ou completa
Configure los Horarios de su establecimiento|Configurar os horários de seu estabelecimento
Label2|Label2
a |um
El Horario del Establecimiento es:|O cronograma do estabelecimento é:
El Horario de Cocina es:|O horário da cozinha é:
Seleccione el Horario del Establecimiento|Selecione o Horário de Estabelecimento
Seleccione el Horario de Cocina|Selecione o horário da cozinha
4.- Solo le recomendamos que contrate este servicio y utilice esta opcion si solo si su empresa verdaderamente lo necesita, por nuestra experiencia el 90% de los usuarios de Puntos de Venta del sector retail no necesitan tener esta base de datos instalada|4.- Só recomendamos que você contrate este serviço e use esta opção somente se a sua empresa realmente precisar, da nossa experiência 90% dos usuários de Pontos de Venda no setor de varejo não precisam ter esse banco de dados instalado
3.- Tiene que indicarnos los nombre de los usuarios que utilizaran el programa para crear los usuarios en la base de datos. (este servicio incluye 3 usuarios si desea mas usuarios el coste es de 5 Euros por cada uno)|3.- Você deve indicar os nomes dos usuários que usarão o programa para criar os usuários no banco de dados. (este serviço inclui 3 usuários, se você quiser mais usuários, o custo é de 5 euros cada)
2.- Tiene que tener instalado el TeamViewer para que un tecnico pueda conectar a instalar la BD y dejarle el programa funcionando en Sql Server|2.- Você deve ter o TeamViewer instalado para que um técnico possa se conectar para instalar o BD e deixar o programa em execução no Sql Server
1.- Este servicio tiene un coste de 75 Euros + Iva|1.- Este serviço tem um custo de 75 euros + IVA
Si desea utilizar el programa con Sql Server un tecnico de nuestra empresa se lo puede instalar. Pasos que tiene que tomar en cuenta.|Se você quiser usar o programa com o Sql Server, um técnico da nossa empresa poderá instalá-lo. Etapas que você precisa levar em conta
Requisitos Para Usar Sql Server|Requisitos para usar o Sql Server
Numero de Ventas Menores A: |Número de vendas secundárias A:
Seleccione de que terminal quiere obtener la información|Selecione de qual terminal você deseja obter as informações
Servicios|Serviços
Completo|Completo
Total General|Total geral
Total Gastos|Despesas Totais
C. Inicial|C. inicial
Total Retiradas|Retirada total
Totalizado por Forma de Pago|Totalizado pelo formulário de pagamento
Ventas Generales por Dia|Vendas gerais por dia
Esta Forma de Pago es de tipo Tarjeta|Este método de pagamento é tipo de cartão
Nueva Observación|Nova observação
comensal|diner
Observacion|Observação
estado|status
idenvio|idenvio
Seleccione la observacion que desea eliminar del panel de arriba|Selecione a observação que você deseja remover do painel acima
Observaciones a Cocina|Observações para Cozinha
Posicion|Posição
Escriba la nueva observacion|Escreva a nova observação
Eliminar Observación|Excluir observação
Seleccione Mesa Destino|Selecione a tabela de destino
Total Cuenta Origen|Origem total da conta
Seleccione Mesa A Juntar|Selecione a tabela para ingressar
Seleccione Salon Destino|Selecione Salão de Destino
Seleccione Salon|Selecione Salon
Pedidos en Reserva|Pedidos na Reserva
Fecha Seleccionada|Data Selecionada
Total Reservas|Total de Reservas
Reservas Activas|Reservas Ativas
N. Pedido|N. Ordem
Fecha Entrega|Data de entrega
Hora Entrega|Tempo de entrega
Observaciones|Observações
Fecha de Entrega|Data de entrega
Hora de Entrega|Tempo de entrega
Contraseña = |Senha =
Zona|Zona
Venta Original|Venda Original
Total Cuenta Parcial|Conta parcial total
Escriba la clave de gerencia|Digite a chave de gerenciamento
