    Buscar Por Nombre:|search by name
Numero Mesa|Number Table
Número:|Number:
numPedido|numPedido
NumPedido =|OrderNum =
Objeto Pulsado|Pulsed Object
Observ. Pedido|I observed Order
Observaciones de caja:|Cash observations:
Ocupada|Busy
OFF|OFF
OK|okay
ON|ON
Opciones configurables|Configurable options
Orden Menu|Order Menu
Otra Moneda|Other Currency
Otras Opciones|Other options
Otras secuencias de apertura|Other opening sequences
Otras secuencias de Corte de Papel|Other sequences of Paper Cutting
Otro Terminal|Other Terminal
P. U.|P. U.
Pagina Web|Web page
Pais|Country
País:|Country:
panel de busqueda de clientes|customer search panel
panel menu familia|panel menu family
Panel Mesas|Panel Tables
panel_opciones de caja|panel_options
Para impresoras con comandos adicionales: (serie, paralelo, usb)|For printers with additional commands: (series, parallel, usb)
Para impresoras conexion paralela:|For parallel connection printers:
Para impresoras salida serie:|For serial output printers:
Para poder recordarle la contraseña de direccion es necesario que responda a las siguientes preguntas|To be able to remind you of the address password you need to answer the following questions
Paseo de Europa 7, (S.S. de los Reyes - Madrid -España)|Walk of Europe 7, (S.S. de los Reyes - Madrid-Spain)
Paso1: Confirme que todos sus equipos esten conectados en red.  Paso2: De todos los equipos que tiene, tiene que seleccionar uno que va a hacer de servidor.  Paso3: El equipo que hara de servidor tiene que tener el disco C compartido y con los permiso|Step1: Confirm that all your computers are connected in a network. Step2: Of all the equipment you have, you have to select one that is going to be a server. Step3: The team that will make the server must have the shared disk C and with the permission
Pedido Telefonico|Telephone Order
Pedidos Realizados a Proveedor|Orders Made to Supplier
Pedir Contraseña|Ask Password
Pedir Contraseña Al Entrar Al Programa|Request Password When Entering the Program
Pedir Contraseña Al Entrar Caja|Ask Password When Entering Box
Pedir Contraseña Apertura de Cajetin|Request Password Cajetin Opening
Pedir contraseña para las modificaciones / eliminaciones / descuentos ... (Para todos los empleados)|Ask password for modifications / deletions / discounts ... (For all employees)
Pedir Empleado Al Entrar Caja|Ask Employee When Entering Box
Pedir Empleado X Cada Venta|Ask for Employee X Every Sale
Permisos de Usuario|User permits
Permisos Usuario|User Permissions
Permisos Usuarios|Users Permissions
Permite acceso al modulo|Allows access to the module
Pie de Correo|Foot Mail
Pie de página|Footer
Pie de Ticket|Ticket Foot
Piso|Floor
Piso:|Floor:
Plantilla|Template
Plantilla 1|Template 1
Plantilla 2|Template 2
Plantilla 3|Template 3
Plantilla Guardada|Saved Template
Plantilla Reservas|Template Reservations
Plantillas Promociones|Promotions Templates
Poblacion:|Population:
Población:|Population:
Posicion  en Pantalla:|Screen Position:
Posicion del objeto/mesa|Position of the object / table
Postre|Dessert
Precio Actual|Actual Price
Precio de Venta:|Sale price:
Precio Original|Original price
Precios Validos entre los siguientes dias y horas|Valid prices between the following days and hours
Pregunta o Consulta|Question or Consultation
Preticket|Preticket
PRIMER PLATO|FIRST COURSE
Probar / Guardar|Test / Save
Prod. en Lista|Prod. In List
Producto Elaborado|Elaborate product
Producto incluido en otra familia|Product included in another family
Producto para Venta|Product for Sale
Producto preparado en|Product prepared in
Producto preparado en:|Product prepared in:
Productos Bajo Minimo|Products Low Minimum
Productos Bajo Minimos Formato Ticket|Products Under Minimal Format Ticket
Productos de Barra|Products of Barra
Productos de cocina|Kitchen products
Productos Elaborados|Processed products
Productos Incluidos|Included Products
Productos mas Vendidos|Most selled products
Productos Primer Plato|First Plate Products
Productos relacionados con el proveedor:|Products related to the supplier:
Productos Segundo Plato|Second Plate Products
Productos Sin Ventas|Products Without Sales
Productos Tercer Plato/ Postre|Third Dish / Dessert Products
Programa protegido por los derechos de propiedad intelectual en Marcas y Patentes en cuanto a contenido y diseño.|Program protected by intellectual property rights in Trademarks and Patents in terms of content and design.
PROGRAMA REGISTRADO|REGISTERED PROGRAM
Promociones / Envio Email|Promotions / Email
Promociones Fast Food|Fast Food Promotions
Propina|Tip
Provincia:|Province:
Proyecto: Servidor Net, Version: XXX|Project: Net Server, Version: XXX
Proyecto: Tpv 123, Version: XXX|Project: Tpv 123, Version: XXX
Puede cambiar|You can change
Puerta|Door
Puerta:|Door:
Puerto Rico|Puerto Rico
R e s e r v a s|Reservations
Realizar cierre caja ciego|Perform closing blind box
Recargo:|Surcharge:
Recordatorio de contraseña de direccion|Address password reminder
Recuerde que en la carpeta indicada en la linea superior tiene que existir el archivo nomprog.|Remember that in the folder indicated in the upper line there must exist the nomprog file.
Reenviar|Resend
Reenvio de Pedidos A cocina / Barra|Forwarding of Orders to Kitchen / Bar
Reg. Anual|Annual Reg
Registro de Licencias|Registration of Licenses
Reimpresion Ticket|Reprinting Ticket
Reimprimir Factura - Ticket|Reprint Invoice - Ticket
Relacion de Propinas|Tip Ratio
Relacion Emails Enviados|Relationship Emails Sent
Relacion Envios Cocina contra Ventas|Shipping Relationship Kitchen vs. Sales
Rellene algun campo para la busqueda|Fill in some fields for the search
Remitente|Sender
Repartidor:|Delivery man:
Reserva|Reservation
Reservada|Reserved
Reservas|Reservations
Reservas de Mesas|Table Reservations
Reservas Hora/Dia /Mes|Reservations Time / Day / Month
Reservas x Dia|Reservations x Day
Resultado de la Búsqueda|Result of the Search
Resultados de la Busqueda|Search results
Resumen Contable de Facturas|Invoice Accounting Summary
Resumen de Venta x Empleados|Summary of Sale x Employees
Retirada de Caja|Withdrawal of Cash
Retiradas|Withdrawn
Retiradas Empleados|Withdrawn Employees
Saldo:|Balance:
SALON|LIVING ROOM
Salones|Rooms
Santiago de Chile|Santiago, Chile
Secuencia de Apertura|Opening Sequence
Secuencia de Corte|Cutting Sequence
Segundo|Second
SEGUNDO PLATO|SECOND COURSE
Seleccion De Entradas|Selection of Tickets
Seleccionar Color:|Select Color:
SELECCIONE EL EMPLEADO|SELECT THE EMPLOYEE
Seleccione el empleado al que va a configurar permisos|Select the employee to whom you are going to set permissions
Seleccione el intervalo de fechas|Select the date range
Seleccione el producto o el ingrediente a utilizar|Select the product or ingredient to use
Seleccione el tipo de familia|Select the type of family
Seleccione Horario|Select Timetable
Seleccione la celda en la interseccion de la impresora y la zona que quiere asociar|Select the cell at the intersection of the printer and the area you want to associate
Seleccione las monedas de su pais|Select the currencies of your country
Seleccione las monedas en circulacion de su pais|Select the currencies in circulation of your country
Seleccione su pais|Select your country
Seleccione Tamaño Letra: Cuerpo|Select Letter Size: Body
Seleccione Tamaño Letra: Titulo|Select Letter Size: Title
Seleccione Tipo Letra|Select Type Letter
Seleccione una opcion|Select an option
Serie: XXX|Series: XXX
Servicio Correo|Mail Service
Servicio de asistencia:|Assistance service:
Servicios a Domicilio|Domiciliary services
Sí|Yes
Si ACTIVA esta opcion, en las facturas el num. le aparecera asi: 000- 000-00-0000000X|If you activate this option, in the invoices the num. it will appear like this: 000-000-00-0000000X
Si conoce que tipo de conexion tiene su impresora de tickets seleccione la que le corresponde en caso contrario pruebe cada uno de ellos hasta confirmar cual es el que abre.|If you know what type of connection your ticket printer has, select the one that corresponds to it otherwise try each one of them until you confirm which one opens.
Si en su pais no se aplica esta normativa, NO ACTIVE esta opcion|If this regulation does not apply in your country, DO NOT activate this option
Si la compra de este producto ha superado el año y tiene caducado la asistencia / actualizaciones del programa, y tiene un problema recuerde, primero contratar nuestro servicio de asistencia para una solucion adecuada.|If the purchase of this product has exceeded the year and the program's assistance / updates has expired, and you have a problem remember, first hire our assistance service for an adequate solution.
Si no tiene contratado este servicio nuestra empresa no tiene la obligacion de dar ningun tipo de servicio o ser responsable de algun cambio de su sistema informatico.|If you do not have this service contracted, our company does not have the obligation to provide any kind of service or be responsible for any change in your computer system.
Si olvida la contraseña que acaba de introducir podra recuperarla respondiendo a las preguntas anteriores.|If you forget the password you just entered, you can recover it by answering the previous questions.
Si tiene alguna Incidencia / Pregunta sobre nuestro programa utilice esta opcion siguiendo los pasos:|If you have any Incidence / Question about our program use this option following the steps:
Simbolo Moneda|Currency Symbol
Sirve para que en lugar de que  aparezca una imagen en el boton  del producto aparezca un numero.|It serves so that instead of appearing an image on the product button, a number appears.
situacion|situation
situacion buscar|situation search
Situacion cabecera|Head position
Situacion datos cliente|Customer data situation
SITUACION DE LOS PANELES|SITUATION OF THE PANELS
situacion derecha|right situation
Situacion detalles ticket|Location ticket details
situacion izquierda|left situation
situacion panel opciones|panel situation options
situacion panel producto|product panel situation
situacion paneles|situation panels
Situacion pie ticket|Situation foot ticket
situacion_paneles_generales|situation_general_panels
situacion2|situation2
situaciongrid|situaciongrid
situacionpaneles|situacionpaneles
SolverMedia|SolverMedia
SolverMedia, Departamento de Desarrollo|SolverMedia, Development Department
sto ingredientes|sto ingredients
Stock Minimo:|Minimum stock:
Su ID Es|Your ID Is
Su registro se ha realizado con exito|Your registration has been successfully completed
SubFamilias|SubFamilies
SubFamilias Existentes|Existing SubFamilies
Subproductos|Byproducts
SubTotal|Subtotal
Suma/Conteo de caja del turno actual|Sum / Current shift case count
Tablet Activada|Activated Tablet
Tamaño 10 cm.|Size 10 cm.
Tel:|Tel:
TELEF|TELEF
Teléfono|Phone
Telefono:|Phone:
Teléfono:|Phone:
Terminal = XXX|Terminal = XXX
Terminar Venta|Finish Sale
Terminar Venta <F12>|Finish Sale <F12>
Texto|Text
Texto Original|Original text
Texto sin traducir|Untranslated text
Texto Traducido|Translated text
Tiene un descuento de|It has a discount of
Tipo / Tamaño Letra|Type / Size Letter
Tipo 20|Type 20
Tipo de Consulta|Type of Consultation
Tipo de Familia:|Kind of family:
Tipo de Producto:|Kind of product:
Tipo de venta|Type of sale
Tipo IVA|VAT type
Tipos de licencia|License types
Titulo|Title
Tlf Movil|Mobile Phone
Todos|Everybody
Todos los clientes|All customers
toolStrip1|toolStrip1
top grid|top grid
Total Diario de Retiradas|Total Daily Withdrawals
Total en Letras|Total in Letters
Total monedas|Total coins
Total otras formas de pago|Total other payment methods
Total tarjetas|Total cards
Tpv 123 Hosteleria|Tpv 123 Hospitality
Tpv 123 Hosteleria (Version: 8.5.1)|Tpv 123 Hosteleria (Version: 8.5.1)
TPV Gratuito|Free POS
TPV Gratuito, Departamento de Desarrollo|Free POS, Development Department
TPV Hosteleria|POS Terminal Hosteleria
Traduccion|Translation
Uds|You
Ultima actualizacion: XXX|Last update: XXX
Ultima Venta|Last Sale
Ultimo Nro. Utilizado = |Last Used No =
Ultimos 50 gastos (clic para modificar)|Last 50 expenses (click to modify)
Unidades de medida:|Measurement units:
USB|USB
Usted está utilizando una licencia:|You are using a license:
Usuario: Director|User: Director
Utilizar Caja Rapida|Use Quick Box
Utilizar SubTotal|Use SubTotal
Utilizar Visor|Use Viewer
V E R  T I C K E T|V E R T I C K E T
Valor de venta en letras|Sale value in letters
Valor n|Value n
Valoracion Stock General|General Stock Valuation
Valoracion Stock x Proveedores|Valuation Stock x Suppliers
Varias lineas para descripcion del producto|Several lines for product description
Varios Precios|Various Prices
Venta Anterior|Previous Sale
Ventas con Promociones|Sales with Promotions
Ventas Detalladas x Empleados|Detailed Sales x Employees
Ventas Eliminadas Formato Ticket|Sales Deleted Format Ticket
Ventas Eliminadas y Descuentos|Deleted Sales and Discounts
Ventas en el mes (Acumulado x Horas)|Sales in the month (Accumulated x Hours)
Ventas Formato Ticket Detallado|Sales Detailed Ticket Format
Ventas Formato Ticket Resumido|Sales Summary Ticket Format
Ventas Formato Ticket x Empleado|Sales Format Ticket x Employee
Ventas Generales x Dia|General Sales x Day
Ventas NCF Rep. Dominicana|Sales NCF Rep. Dominicana
Ventas x Clientes|Sales x Customers
Ventas x Empleados|Sales x Employees
Ventas x Familias|Sales x Families
Ventas x Forma de Pago|Sales x Form of Payment
Ventas x Horas|Sales x Hours
Ventas x Menus|Sales x Menus
Ventas x Zonas|Sales x Areas
Ventas x Zonas Formato General|Sales x Areas General Format
Ventas x Zonas -Totalizado x Productos|Sales x Areas -Totalized x Products
Ver Datos Completos|See Full Data
Ver Ingredientes|See Ingredients
Ver Ingredientes Incluidos|See Ingredients Included
Ver Lista|See list
Ver Productos|See products
Ver Productos Venta|See Products Sale
Visitas|Visits
Visor Pedidos|Order Viewer
Vista Previa|Preview
Volver a intentar|Try again
Volver Lista de Precios|Back Price List
WEB|WEB
Zona Impresion|Impression Zone
Zona:|Zone:
ZonaImpresion|Impression Area
Zonas|Areas
Zonas de Impresion|Areas of Impression
Zonas Existentes|Existing Areas
* Clic sobre el impuesto que desea cambiar|* Click on the tax you want to change
1.-Si desea aumentar el coste, solo debe ingresar el porcentaje en la caja del mismo.|1.-If you want to increase the cost, just enter the percentage in the box.
2.-Luego seleccione el proveedor o seleccione la opcion todos.|2.-Then select the provider or select the option all.
a:|to:
alturapanel|alturapanel
Aumento de Precios|Price increase
Cambio de Coste / Precio|Change of Cost / Price
Cambio el valor de los impuestos|Change the value of taxes
Con redondeo|With rounding
Coste|Cost
De:|From:
Deseo cambiar|I want to change
Este proceso automatiza el aumento de precio, margen comercial y coste de los productos.|This process automates the increase in price, commercial margin and cost of the products.
Los mismos pasos 1, 2 para margen comercial o precio de venta.|The same steps 1, 2 for commercial margin or sale price.
Nro. de Productos|No. of Products
Productos del Proveedor|Products of the Supplier
Realizando cambios|Making changes
Recuerde que este proceso es irreversible. Confirme y  verifique los porcentajes que está aumentando.|Remember that this process is irreversible. Confirm and verify the percentages that are increasing.
Sin redondeo|Without rounding
Todos los productos|All the products
Escriba la clave de gerencia|Enter the management key
Total Cuenta Parcial|Total Partial Account
Venta Original|Original Sale
Zona|Zone
Contraseña = |Password =
Hora de Entrega|Delivery Time
Fecha de Entrega|Date of delivery
Observaciones|Observations
Hora Entrega|Delivery Time
Fecha Entrega|Deliver date
N. Pedido|N. Order
Reservas Activas|Active Reserves
Total Reservas|Total Reservations
Fecha Seleccionada|Selected Date
Pedidos en Reserva|Orders in Reserve
Seleccione Salon|Select Salon
Seleccione Salon Destino|Select Destination Salon
Seleccione Mesa A Juntar|Select Table To Join
Total Cuenta Origen|Total Account Origin
Seleccione Mesa Destino|Select Destination Table
Eliminar Observación|Delete Observation
Escriba la nueva observacion|Write the new observation
Posicion|Position
Observaciones a Cocina|Observations to Kitchen
Seleccione la observacion que desea eliminar del panel de arriba|Select the observation you want to remove from the panel above
idenvio|idenvio
estado|state
Observacion|Observation
comensal|diner
Nueva Observación|New Observation
Esta Forma de Pago es de tipo Tarjeta|This Payment Method is Card type
Ventas Generales por Dia|General Sales per Day
Totalizado por Forma de Pago|Totalized by Payment Form
Total Retiradas|Total Withdrawals
C. Inicial|C. Initial
Total Gastos|Total spends
Total General|Grand Total
Completo|Full
Servicios|Services
Seleccione de que terminal quiere obtener la información|Select from which terminal you want to get the information
Numero de Ventas Menores A: |Number of Minor Sales A:
Requisitos Para Usar Sql Server|Requirements to Use Sql Server
Si desea utilizar el programa con Sql Server un tecnico de nuestra empresa se lo puede instalar. Pasos que tiene que tomar en cuenta.|If you want to use the program with Sql Server, a technician of our company can install it. Steps you have to take into account.
1.- Este servicio tiene un coste de 75 Euros + Iva|1.- This service has a cost of 75 Euros + VAT
2.- Tiene que tener instalado el TeamViewer para que un tecnico pueda conectar a instalar la BD y dejarle el programa funcionando en Sql Server|2.- You must have the TeamViewer installed so that a technician can connect to install the BD and leave the program running on Sql Server
3.- Tiene que indicarnos los nombre de los usuarios que utilizaran el programa para crear los usuarios en la base de datos. (este servicio incluye 3 usuarios si desea mas usuarios el coste es de 5 Euros por cada uno)|3.- You have to indicate the names of the users that will use the program to create the users in the database. (this service includes 3 users if you want more users the cost is 5 Euros each)
4.- Solo le recomendamos que contrate este servicio y utilice esta opcion si solo si su empresa verdaderamente lo necesita, por nuestra experiencia el 90% de los usuarios de Puntos de Venta del sector retail no necesitan tener esta base de datos instalada|4.- We only recommend that you hire this service and use this option if only if your company really needs it, from our experience 90% of the users of Points of Sale in the retail sector do not need to have this database installed
Seleccione el Horario de Cocina|Select the Kitchen Schedule
Seleccione el Horario del Establecimiento|Select the Establishment Schedule
El Horario de Cocina es:|The Kitchen Schedule is:
El Horario del Establecimiento es:|The Establishment Schedule is:
Label2|Label2
Configure los Horarios de su establecimiento|Configure the Schedules of your establishment
Pasar a la version Basica o Completa|Go to the Basic or Complete version
El Tipo de Base De Datos Que Su Negocio Necesita|The Type of Database Your Business Needs
ACCESS|ACCESS
Indicado para empresas con volumen de datos bajos 1 o 2 PC en red.|Indicated for companies with low data volume 1 or 2 PCs in network.
SQL SERVER|SQL SERVER
Dirigido para aquellas empresas con volumenes de datos altos o muchas interacciones simultaneas soporta varios PC conectados en red sin problemas de concurrencias y trafico de datos. (si este es su caso nuestro programa funciona perfectamente con este ges|Directed for those companies with high data volumes or many simultaneous interactions supports several networked PCs without concurrency problems and data traffic. (If this is your case our program works perfectly with this ges
Más Información|More information
UTILIZAR SQL SERVER|USE SQL SERVER
Utilizar  SQL   Server . . . . . |Use SQL Server . . . .
Nombre Servidor SQL Server|Server Name SQL Server
