Configuracion Inicial|Configurazione iniziale
Nueva|nuovo
Antigua|Antigua
Cambiar Contraseña|Cambia password
Cambios guardados|Modifiche salvate
Aplicar Cambios para este Empleado|Applica modifiche per questo dipendente
Borrar Restricciones|Elimina restrizioni
Opciones configurables|Opzioni configurabili
NO Permite acceso al modulo|NO Consente l'accesso al modulo
Permite acceso al modulo|Consente l'accesso al modulo
Seleccione su pais|Seleziona il tuo paese
Nombre del Impuesto (IVA, IGIC, IGV, etc.)|Nome della tassa (IVA, IGIC, IGV, ecc.)
Si en su pais no se aplica esta normativa, NO ACTIVE esta opcion|Se questo regolamento non si applica nel tuo paese, NON attivare questa opzione
Si ACTIVA esta opcion, en las facturas el num. le aparecera asi: 000- 000-00-0000000X|Se si attiva questa opzione, nelle fatture il num. apparirà in questo modo: 000-000-00-0000000X
En algunos paises la normativa indica que el numero de facturas tiene que ir precedido por una serie de identificadores.|In alcuni paesi, i regolamenti indicano che il numero di fatture deve essere preceduto da una serie di identificatori.
INFORMACION SOBRE FACTURAS ESPECIALES|INFORMAZIONI SULLE FATTURE SPECIALI
Moneda|valuta
Simbolo Moneda|Simbolo di valuta
Formato Hora:|Formato orario:
Numero de decimales ( 0,1,2)|Numero di decimali (0,1,2)
Identificacion Fiscal (Cif, Nif, Ruc, Rut, Rnc, etc.)|Identificazione fiscale (Cif, Nif, Ruc, Rut, Rnc, ecc.)
h=12 Horas (AM o PM)|h = 12 ore (AM o PM)
h=24 Horas |h = 24 ore
Otra Moneda|Altra valuta
Btc 1 BitCoin = |Btc 1 BitCoin =
€ 1 Euro = |€ 1 Euro =
$ 1 Dolar = |$ 1 dollaro =
Hasta 8 decimales|Fino a 8 decimali
Numero de credito fiscal|Numero di credito fiscale
Activar linea propina en preticket|Attiva la linea di punta nel preticket
Guardar Cambios|Salva modifiche
Ingrese el concepto|Inserisci il concetto
Activar concepto Propina / Servicio / Otros|Attiva il concetto Mance / Servizio / Altro
(Opcion utilizada con frecuencia en algunos paises del caribe y sudameria) / No activar en paises en los que no es obligatorio cobrar propina|(Opzione utilizzata frequentemente in alcuni paesi dei Caraibi e Sudameria) / Non attivare in paesi in cui non è obbligatorio addebitare suggerimenti
Secuencia de Apertura|Sequenza di apertura
Para impresoras conexion paralela:|Per stampanti con connessione parallela:
Probar / Guardar|Test / Salva
* Click para seleccionar la secuencia de apertura|* Fare clic per selezionare la sequenza di apertura
Marca de Impresora|Marca della stampante
Modelo de Impresora|Modello di stampante
Otras secuencias de apertura|Altre sequenze di apertura
Nota: Es posible que la impresora realice el corte sin tener que añadir ninguna secuencia de apertura, en ese caso no hace falta que configure esta opcion|Nota: è possibile che la stampante esegua il taglio senza dover aggiungere alcuna sequenza di apertura, in tal caso non è necessario configurare questa opzione
* Click para seleccionar la secuencia de corte|* Fare clic per selezionare la sequenza di taglio
Secuencia de Corte|Sequenza di taglio
Otras secuencias de Corte de Papel|Altre sequenze di taglio della carta
Configuracion de corte automatico al final del ticket:|Configurazione di taglio automatica alla fine del biglietto:
¿Que son comandos adicionales? Despues de instalar los drivers de la impresora en propiedades de la misma encontramos una pestaña de comandos adicionales / desde aqui marcaremos la opcion de apertura de cajon (Open Draw1 o Open Draw2).|Quali sono i comandi aggiuntivi? Dopo aver installato i driver di stampa in proprietà dello stesso trovare una scheda di comandi aggiuntivi / da qui contrassegniamo l'opzione per aprire il cassetto (Apri Draw1 o Apri Draw2).
Apertura estandar para impresoras USB|Apertura standard per stampanti USB
Para impresoras con comandos adicionales: (serie, paralelo, usb)|Per stampanti con comandi aggiuntivi: (serie, parallelo, usb)
Para impresoras salida serie:|Per stampanti con uscita seriale:
Configuracion de Apertura de Cajon|Cajon Opening Configuration
Si conoce que tipo de conexion tiene su impresora de tickets seleccione la que le corresponde en caso contrario pruebe cada uno de ellos hasta confirmar cual es el que abre.|Se sai quale tipo di connessione ha la stampante per biglietti, seleziona quella che corrisponde ad essa, altrimenti prova ognuno di essi fino a quando confermi quale si apre.
Ayuda|aiutare
Configuracion de Cajetin|Configurazione di Cajetin
Courier New|Corriere Nuovo
Seleccione Tamaño Letra: Cuerpo|Seleziona Formato Lettera: Corpo
Seleccione Tamaño Letra: Titulo|Seleziona la dimensione della lettera: titolo
Seleccione Tipo Letra|Seleziona Tipo Lettera
Tipo / Tamaño Letra|Digita / taglia la lettera
Nro. de Decimales que quiero utilizar|No. di decimali che voglio usare
Mi impresora imprime|La mia stampante stampa
Nro. de caracteres de su impresora|Numero di caratteri della stampante
caracteres por linea|caratteri per riga
Poblacion:|popolazione:
Direccion:|indirizzo:
Tel:|Tel:
CIF / DNI:|CIF / DNI:
Cliente:|cliente:
Empleado:|Impiegato:
Fact. Simpli:|Fatto. semplificazione:
Codigo Barras|Codice a barre
Lineas en blanco al final del ticket = |Righe vuote alla fine del biglietto =
Escriba aqui su comentario del final de ticket|Scrivi qui il tuo commento del biglietto
** Gracias por su visita **|** Grazie per la tua visita **
Impuestos Incluidos|Tasse incluse
Varias lineas para descripcion del producto|Diverse linee per la descrizione del prodotto
Añadir codigo de barras en descripcion de producto|Aggiungi codice a barre nella descrizione del prodotto
Otras Opciones|Altre opzioni
Mostrar P. Unitario|Mostra P. Unitario
Desglose Impuesto|Scomposizione fiscale
Total en Letras|Totale in lettere
Utilizar SubTotal|Usa subtotale
Cuota|tassa
Base|base
Tipo IVA|Tipo di IVA
Entrega|consegna
P. U.|P. U.
Descripcion|descrizione
Uds|voi
WEB|WEB
Puede cambiar|Puoi cambiare
CIF|CIF
Nombre Empresa|Nome dell'azienda
Imagen al Principio|Immagine all'inizio
Datos de Cabecera|Dati di intestazione
Clic para cambiar Imagen|Clicca per cambiare immagine
Nro Venta/Pie de Ticket|Nessuna vendita / piede del biglietto
Diseño Ticket|Design del biglietto
Valor de venta en letras|Valore di vendita in lettere
Diseño de Ticket|Progettazione del biglietto
Pie de Ticket|Biglietto
Detalles del  Ticket|Dettagli del biglietto
Vista Previa|anteprima
Cabecera  Ticket|Intestazione del biglietto
Datos del  Cliente|Dati del cliente
Clave:|chiave:
Usuario: Director|Utente: direttore
Está a punto de realizar la restauración de sus copias de seguridad de sus bases de datos.  Para ello deberá localizar su copia de seguridad en su disco duro o en su modulo de memoria extraible.  Dicha operación demorará unos segundos, una vez finaliz|Stai per ripristinare le tue copie di backup dei tuoi database. Per fare ciò è necessario individuare la copia di backup sul disco rigido o sul modulo di memoria rimovibile. Tale operazione richiederà alcuni secondi, una volta terminata
TPV Hosteleria|Terminale POS Hosteleria
Grafica de Envios|Grafica di spedizione
Relacion Emails Enviados|Email di relazioni inviate
Envio Promocion|Promozione della spedizione
Crear Plantillas Reservas|Crea prenotazioni di modelli
Envio Puntual|Spedizione puntuale
Crear Plantillas|Crea modelli
Activar Servicio De Correos|Attiva il servizio postale
Enviados:|inviato:
Label6|Label6
Saldo:|bilancio:
Su ID Es|Il tuo ID è
Servicio Correo|Servizio di posta
Le hemos asignado  20 correos gratis|Ti abbiamo assegnato 20 email gratuite
Su registro se ha realizado con exito|La tua registrazione è stata completata con successo
Nombre de Usuario|nome utente
Correo de Contacto|Email di contatto
Incluir Logo|Includi logo
Pie de Correo|Posta di piede
Configuracion Correo|Configurazione della posta
Mensaje Enviado|Messaggio inviato
Enviar|inviare
Envio Puntual de Correo|Invio di posta
toolStrip1|toolStrip1
Mensaje|messaggio
Remitente|mittente
Asunto|affari
Destinatario|destinatario
Seleccione el intervalo de fechas|Seleziona l'intervallo di date
Chart1|chart1
Grafico|grafico
Nueva Plantilla|Nuovo modello
Plantillas Promociones|Modelli di promozioni
Guardado Correctamente|Salvato correttamente
No|non
Sí|sì
¿Desea cargar el diseño anterior?|Vuoi caricare il progetto precedente?
Nombre Plantilla|Nome del modello
Plantilla 3|Modello 3
Plantilla 2|Modello 2
Plantilla 1|Modello 1
Plantilla|sagoma
<---- Texto que aparece en el cuerpo de la promocion|<---- Testo che appare nel corpo della promozione
<---- Escriba el  texto que desea que aparezca en la parte inferior de la promocion|<---- Scrivi il testo che vuoi apparire in fondo alla promozione
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la promocion|<---- Scrivi il titolo o il testo che vuoi apparire nell'intestazione della promozione
Pie de página|footer
Titulo|titolo
<---- Haga un click para insertar la imagen|<---- Clicca per inserire l'immagine
Plantilla Guardada|Template salvato
Cuerpo del Mensaje|Corpo del messaggio
Plantilla Reservas|Prenotazione dei modelli
<---- Texto que se genera automaticamente|<---- Testo che viene generato automaticamente
<---- Escriba el  texto que desea que aparezca en la parte inferior de la reserva|<---- Scrivi il testo che vuoi apparire in fondo alla prenotazione
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la reserva|<---- Digita il titolo o il testo che desideri visualizzare nell'intestazione della prenotazione
Configurar Email|Configura email
Mostrar clientes|Mostra clienti
Filtrar Clientes para Enviar Email|Filtra i clienti per inviare email
Seleccione una opcion|Seleziona un'opzione
Menor que|Meno di
Mayor que|Maggiore di
Consumo|consumo
Ingrese un codigo postal|Inserisci un codice postale
Todos los clientes|Tutti i clienti
Num. Visita|Visita il numero
Cumpleaños|compleanno
Enviando Emails|Invio di email
Cerrar|vicino
Ctrl+C para copiar los correos de esta lista para hacer un envio desde la aplicacion de correo electronico (gmail, hotmail, etc...) que desee.|Ctrl + C per copiare le e-mail da questo elenco per effettuare una spedizione dall'applicazione di posta elettronica (gmail, hotmail, ecc.) Che si desidera.
Lista de correos seleccionados|Elenco delle email selezionate
Enviar Email a Clientes Seleccionados|Invia email ai clienti selezionati
Lista de clientes|Elenco di clienti
 Mostrar Todos| Mostra tutto
Emails Seleccionados|Email selezionate
Marcar Todos|Segna tutti
Copiar Emails seleccionados  para envio manual|Copia le email selezionate per la consegna manuale
 Mostrar solo con Email Valido| Mostra solo con email valida
Clientes Seleccionados|Clienti selezionati
Cantidad de clientes que cumplen las condiciones|Numero di clienti che soddisfano le condizioni
Importe|importo
Visitas|visite
* Si no pone un correo electronico valido no recibirá respuesta|* Se non inserisci un'e-mail valida, non riceverai una risposta
Telefono:|telefono:
Email: *|Email: *
Ingrese sus datos para poder responderle|Inserisci le tue informazioni per essere in grado di rispondere
Formule su Consulta|Fai la tua domanda
Aviso de averia|Avviso di guasto
Pregunta o Consulta|Domanda o consultazione
Tipo de Consulta|Tipo di consultazione
Si tiene alguna Incidencia / Pregunta sobre nuestro programa utilice esta opcion siguiendo los pasos:|Se hai qualche incidenza / domanda sul nostro programma usa questa opzione seguendo i passaggi:
Aviso de Averia / Consulta|Avviso / consultazione
Asistencia y Sugerencias|Assistenza e suggerimenti
Si no tiene contratado este servicio nuestra empresa no tiene la obligacion de dar ningun tipo de servicio o ser responsable de algun cambio de su sistema informatico.|Se non si dispone di questo servizio contratto, la nostra azienda non ha l'obbligo di fornire alcun tipo di servizio o essere responsabile per eventuali cambiamenti nel sistema informatico.
Si la compra de este producto ha superado el año y tiene caducado la asistencia / actualizaciones del programa, y tiene un problema recuerde, primero contratar nuestro servicio de asistencia para una solucion adecuada.|Se l'acquisto di questo prodotto ha superato l'anno e l'assistenza / gli aggiornamenti del programma sono scaduti e si ha un problema a ricordare, prima assumi il servizio di assistenza per una soluzione adeguata.
Cambio de equipo informatico, cambio de disco duro, formateo de disco duro, etc...|Cambio di attrezzature informatiche, modifica del disco rigido, formato del disco rigido, ecc ...
4.- Estimado cliente recuerde que sólo podrá recibir las actualizaciones del programa en caso de tener el contrato de mantenimiento al día.|4.- Gentile cliente, ricorda che puoi ricevere aggiornamenti del programma solo se hai il contratto di manutenzione aggiornato.
3.- Si se produce alguno de estos casos anteriores, antes de realizar ninguna acción,  pongase en contacto con el departamento técnico de SolverMedia comercial@solvermedia.com para que le ayuden a realizar el cambio.|3.- Se si verifica uno di questi casi precedenti, prima di eseguire qualsiasi azione, contattare l'ufficio tecnico di SolverMedia comercial@solvermedia.com per aiutarlo a effettuare la modifica.
2.- La empresa SolverMedia no concederá una nueva licencia a aquellos clientes que por problemas ajenos a SolverMedia hallan perdido el registro del programa, esos problemas pueden venir causados por:|2.- La società SolverMedia non concederà una nuova licenza a quei clienti che, a causa di problemi esterni a SolverMedia, hanno perso il registro del programma, questi problemi possono essere causati da:
1.- La empresa SolverMedia no se responsabiliza de la mala manipulación de su registro de licencia así como del numero asignado para su registro.|1.- La società SolverMedia non è responsabile per la cattiva manipolazione del suo registro di licenza e il numero assegnato per la sua registrazione.
La contraseña de direccion es: |La password dell'indirizzo è:
Maximo 8 caracteres|Massimo 8 caratteri
Confirme la contraseña|Conferma la password
Ingrese la contraseña nueva|Inserisci la nuova password
Ingrese la contraseña anterior|Inserisci la password precedente
Recordatorio de contraseña de direccion|Indirizzo password promemoria
Cambio de contraseña de direccion|Cambio della password di indirizzo
Volver a intentar|Prova di nuovo
Las respuestas introducidas no son correctas|Le risposte inserite non sono corrette
Para poder recordarle la contraseña de direccion es necesario que responda a las siguientes preguntas|Per poter ricordare la password dell'indirizzo, è necessario rispondere alle seguenti domande
Año|anno
Mes|mese
Dia|giorno
Ingrese el segundo apellido de su madre|Inserisci il secondo cognome di tua madre
Indique su fecha de nacimiento|Indica la tua data di nascita
Si olvida la contraseña que acaba de introducir podra recuperarla respondiendo a las preguntas anteriores.|Se si dimentica la password appena inserita, è possibile recuperarla rispondendo alle domande precedenti.
La contraseña y las respuestas de recordatorio se han guardado correctamente.|Le risposte di password e promemoria sono state salvate correttamente.
Boletas|scrutini
Facturas|fatture
codCliente|codCliente
Cliente|cliente
F.Pago|F. Pagamento
** clic en la lista o introduzca el numero de ticket|** clicca sulla lista o inserisci il numero del biglietto
Ingrese el numero de ticket / factura|Inserire il numero del biglietto / fattura
Lista de las ultimas ventas|Elenco delle ultime vendite
Concepto del gasto|Concetto di spesa
Gastos Del Día|Spese giornaliere
Ultimos 50 gastos (clic para modificar)|Ultime 50 spese (clicca per modificare)
ESPACIO|SPAZIO
BORRAR|TRASPARENTE
Deja en Caja :|Lascia in scatola:
Cerrar Ventas/Imprimir|Chiudi vendite / stampa
Observaciones de caja:|Osservazioni di cassa:
Suma/Conteo de caja del turno actual|Somma / Conteggio caso maiuscole corrente
Seleccione las monedas de su pais|Seleziona le valute del tuo paese
Cargar monedas de la Zona Euro|Carica monete dall'Eurozona
Valor n|Valore n
Terminal = XXX|Terminale = XXX
Total monedas|Monete totali
Total tarjetas|Totale carte
Total otras formas de pago|Totale altri metodi di pagamento
Caja Inicial:|Contanti iniziali:
Num total de operaciones de este terminal|Numero totale di operazioni di questo terminale
Num total operaciones otras formas pago|Num totale operazioni altre forme di pagamento
Num total operaciones tarjeta|Operazioni con le schede numeriche
Num total operaciones contado|Totale transazioni contate
Max. 20|Max. 20
Número de tipos de moneda a utilizar:|Numero di tipi di valuta da utilizzare:
Seleccione las monedas en circulacion de su pais|Seleziona le valute in circolazione del tuo paese
Tipo 20|Digitare 20
Nota: Esta opcion solo esta pensado para aquellos clientes que en su pais el valor de sus monedas es diferente al establecido para la zona Euro.|Nota: questa opzione è intesa solo per quei clienti che nel loro paese il valore delle loro valute è diverso da quello stabilito per la zona Euro.
Importe a Retirar|Importo da prelevare
Retiradas|ritiri
TELEF|TELEF
Borrando|obliterante
Hora Reserva|Tempo di riserva
Nro comensales|Nessun commensali
Todos|tutto
Cena|cena
Almuerzo|pranzo
Desayuno|prima colazione
MESAS =|TABELLE =
H O R A S|H O R A S
Seleccione Horario|Seleziona orario
*Clic para seleccionar salon|* Clicca per selezionare la stanza
R e s e r v a s|R e s v r s a
Diseñar Plantilla reserva|Design modello libro
Nueva Reserva|Nuova Riserva
Hora de Reserva|Tempo di prenotazione
Nro de Comensales|Numero di Diners
Teléfono|telefono
* Click en la columna de telefono para ver la direccion|* Fare clic sulla colonna del telefono per visualizzare l'indirizzo
Resultado de la Búsqueda|Risultato della ricerca
Movil|Movil
C. Postal|C. postale
Limpiar|pulito
DNI|DNI
Puerta:|porta:
Fijo / Movil|Risolto / mobile
Piso:|piano:
C. Postal:|C. postale:
Número:|il numero:
Email:|e-mail:
Modificar Datos|Modifica dati
Nuevo Cliente|Nuovo cliente
Activar Precios para este terminal de venta|Attiva i prezzi per questo terminale di vendita
Crear nueva o modificar una lista de precios existente|Crea nuovo o modifica un listino prezzi esistente
Listas de Precios|Listini dei prezzi
Listas activa en este terminal|Elenchi attivi in ​​questo terminale
Listas de precios no activa|Listini prezzi non attivi
La lista de precios que ha seleccionado esta fuera del rango actual|Il listino prezzi selezionato non rientra nell'intervallo corrente
Nombre (click para seleccionar/desactivar)|Nome (clicca per selezionare / disattivare)
activa|attivo
Fecha Alta|Data alta
Prod. en Lista|Prod. In elenco
Codigo Precio|Codice Prezzo
C. P.|C. P.
Cif / Dni|CIF / Dni
Realizando cambios|Fare cambiamenti
alturapanel|alturapanel
Los mismos pasos 1, 2 para margen comercial o precio de venta.|Gli stessi passaggi 1, 2 per margine commerciale o prezzo di vendita.
* Clic sobre el impuesto que desea cambiar|* Clicca sulla tassa che vuoi cambiare
De:|di:
Cambio el valor de los impuestos|Cambia il valore delle tasse
Deseo cambiar|Voglio cambiare
a:|un:
Nro. de Productos|No. di prodotti
2.-Luego seleccione el proveedor o seleccione la opcion todos.|2.-Quindi selezionare il fornitore o selezionare l'opzione tutto.
Con redondeo|Con arrotondamento
Sin redondeo|Senza arrotondamenti
Todos los productos|Tutti i prodotti
Productos del Proveedor|Prodotti del fornitore
Coste|costo
Cambio de Coste / Precio|Cambio di costo / prezzo
1.-Si desea aumentar el coste, solo debe ingresar el porcentaje en la caja del mismo.|1.-Se vuoi aumentare il costo, inserisci la percentuale nella casella.
Recuerde que este proceso es irreversible. Confirme y  verifique los porcentajes que está aumentando.|Ricorda che questo processo è irreversibile. Conferma e verifica le percentuali che stanno aumentando.
Este proceso automatiza el aumento de precio, margen comercial y coste de los productos.|Questo processo automatizza l'aumento di prezzo, margine commerciale e costo dei prodotti.
Aumento de Precios|Aumento dei prezzi
Nombre Servidor SQL Server|Nome server Server SQL
Utilizar  SQL   Server . . . . . |Utilizzare SQL Server . . . .
UTILIZAR SQL SERVER|USA SQL SERVER
Más Información|Maggiori informazioni
Dirigido para aquellas empresas con volumenes de datos altos o muchas interacciones simultaneas soporta varios PC conectados en red sin problemas de concurrencias y trafico de datos. (si este es su caso nuestro programa funciona perfectamente con este ges|Diretto per le aziende con elevati volumi di dati o molte interazioni simultanee, supporta diversi PC in rete senza problemi di concorrenza e traffico dati. (Se questo è il tuo caso, il nostro programma funziona perfettamente con questo ges
SQL SERVER|SQL SERVER
Indicado para empresas con volumen de datos bajos 1 o 2 PC en red.|Indicato per aziende con basso volume di dati 1 o 2 PC in rete.
ACCESS|ACCESSO
El Tipo de Base De Datos Que Su Negocio Necesita|Il tipo di database esigenze aziendali
Pasar a la version Basica o Completa|Vai alla versione di base o completa
Configure los Horarios de su establecimiento|Configura gli orari del tuo stabilimento
Label2|Label2
a |a
El Horario del Establecimiento es:|Il programma di costituzione è:
El Horario de Cocina es:|Il programma della cucina è:
Seleccione el Horario del Establecimiento|Seleziona il programma di stabilimento
Seleccione el Horario de Cocina|Seleziona il programma di cucina
4.- Solo le recomendamos que contrate este servicio y utilice esta opcion si solo si su empresa verdaderamente lo necesita, por nuestra experiencia el 90% de los usuarios de Puntos de Venta del sector retail no necesitan tener esta base de datos instalada|4.- Ti consigliamo di assumere questo servizio e utilizzare questa opzione solo se la tua azienda ne ha davvero bisogno, dalla nostra esperienza il 90% degli utenti di Punti vendita nel settore retail non hanno bisogno di avere questo database installato
3.- Tiene que indicarnos los nombre de los usuarios que utilizaran el programa para crear los usuarios en la base de datos. (este servicio incluye 3 usuarios si desea mas usuarios el coste es de 5 Euros por cada uno)|3.- Devi indicare i nomi degli utenti che useranno il programma per creare gli utenti nel database. (questo servizio include 3 utenti se vuoi più utenti il ​​costo è di 5 euro ciascuno)
2.- Tiene que tener instalado el TeamViewer para que un tecnico pueda conectar a instalar la BD y dejarle el programa funcionando en Sql Server|2.- È necessario aver installato TeamViewer in modo che un tecnico possa connettersi per installare BD e lasciare il programma in esecuzione su Sql Server
1.- Este servicio tiene un coste de 75 Euros + Iva|1.- Questo servizio ha un costo di 75 euro + IVA
Si desea utilizar el programa con Sql Server un tecnico de nuestra empresa se lo puede instalar. Pasos que tiene que tomar en cuenta.|Se si desidera utilizzare il programma con Sql Server, è possibile installarlo da un tecnico della nostra azienda. Passi che devi prendere in considerazione.
Requisitos Para Usar Sql Server|Requisiti per l'utilizzo di SQL Server
Numero de Ventas Menores A: |Numero di vendite secondarie A:
Seleccione de que terminal quiere obtener la información|Seleziona da quale terminale desideri ottenere le informazioni
Servicios|servizi
Completo|pieno
Total General|Totale generale
Total Gastos|Spese totali
C. Inicial|C. Iniziale
Total Retiradas|Prelievi totali
Totalizado por Forma de Pago|Totalizzato dal modulo di pagamento
Ventas Generales por Dia|Vendite generali al giorno
Esta Forma de Pago es de tipo Tarjeta|Questo metodo di pagamento è di tipo Carta
Nueva Observación|Nuova osservazione
comensal|commensale
Observacion|osservazione
estado|stato
idenvio|idenvio
Seleccione la observacion que desea eliminar del panel de arriba|Seleziona l'osservazione che vuoi rimuovere dal pannello in alto
Observaciones a Cocina|Osservazioni alla cucina
Posicion|posizione
Escriba la nueva observacion|Scrivi la nuova osservazione
Eliminar Observación|Elimina l'osservazione
Seleccione Mesa Destino|Seleziona tabella di destinazione
Total Cuenta Origen|Total Account Origin
Seleccione Mesa A Juntar|Seleziona tabella per partecipare
Seleccione Salon Destino|Seleziona Salone di destinazione
Seleccione Salon|Seleziona Salon
Pedidos en Reserva|Ordini in Riserva
Fecha Seleccionada|Data selezionata
Total Reservas|Prenotazioni totali
Reservas Activas|Riserve attive
N. Pedido|N. Ordine
Fecha Entrega|Data di consegna
Hora Entrega|Tempo di consegna
Observaciones|osservazioni
Fecha de Entrega|Data di consegna
Hora de Entrega|Tempo di consegna
Contraseña = |Password =
Zona|zona
Venta Original|Vendita originale
Total Cuenta Parcial|Conto parziale totale
Escriba la clave de gerencia|Inserisci la chiave di gestione
