Configuracion Inicial|configuració Inicial
Nombre del Impuesto (IVA, IGIC, IGV, etc.)|Nom de l'Impost (IVA, IGIC, IGV, etc.)
Si en su pais no se aplica esta normativa, NO ACTIVE esta opcion|Si en el seu país no s'aplica aquesta normativa, NO ACTIVE aquesta opció
Si ACTIVA esta opcion, en las facturas el num. le aparecera asi: 000- 000-00-0000000X|Si ACTIVA aquesta opció, en les factures el num. li apareixerà així: 000- 000-00-0000000X
En algunos paises la normativa indica que el numero de facturas tiene que ir precedido por una serie de identificadores.|En alguns països la normativa indica que el nombre de factures ha d'anar precedit per una sèrie d'identificadors.
INFORMACION SOBRE FACTURAS ESPECIALES|INFORMACIÓ SOBRE FACTURES ESPECIALS
Moneda|moneda
Simbolo Moneda|símbol Moneda
Formato Hora:|Format Hora:
Numero de decimales ( 0,1,2)|Nombre de decimals (0,1,2)
Identificacion Fiscal (Cif, Nif, Ruc, Rut, Rnc, etc.)|Identificació Fiscal (CIF, NIF, Ruc, Rut, RNC, etc.)
h=12 Horas (AM o PM)|h = 12 Hores (AM o PM)
h=24 Horas |h = 24 Hores
Otra Moneda|Una altra Moneda
Btc 1 BitCoin = |Btc 1 Bitcoin =
€ 1 Euro = |€ 1 Euro =
$ 1 Dolar = |$ 1 Dòlar =
Hasta 8 decimales|Fins a 8 decimals
Numero de credito fiscal|Nombre de crèdit fiscal
Activar linea propina en preticket|Activa línia propina a preticket
Guardar Cambios|Desar Canvis
Ingrese el concepto|Introduïu el concepte
Activar concepto Propina / Servicio / Otros|Activa concepte Propina / Servei / Altres
(Opcion utilizada con frecuencia en algunos paises del caribe y sudameria) / No activar en paises en los que no es obligatorio cobrar propina|(Opció utilitzada amb freqüència en alguns països del Carib i sudameria) / No activar en països en els quals no és obligatori cobrar propina
Secuencia de Apertura|Seqüència d'Obertura
Para impresoras conexion paralela:|Per a impressores connexió paral·lela:
Probar / Guardar|Provar / Desar
* Click para seleccionar la secuencia de apertura|* Click per seleccionar la seqüència d'obertura
Marca de Impresora|Marca de Impressora
Modelo de Impresora|Model de Impressora
Otras secuencias de apertura|Altres seqüències d'obertura
Nota: Es posible que la impresora realice el corte sin tener que añadir ninguna secuencia de apertura, en ese caso no hace falta que configure esta opcion|Nota: És possible que la impressora faci el tall sense haver d'afegir cap seqüència d'obertura, en aquest cas no cal que configuri aquesta opció
* Click para seleccionar la secuencia de corte|* Click per seleccionar la seqüència de tall
Secuencia de Corte|Seqüència de Cort
Otras secuencias de Corte de Papel|Altres seqüències de Tall de Paper
Configuracion de corte automatico al final del ticket:|Configuració de tall automàtic al final del tiquet:
¿Que son comandos adicionales? Despues de instalar los drivers de la impresora en propiedades de la misma encontramos una pestaña de comandos adicionales / desde aqui marcaremos la opcion de apertura de cajon (Open Draw1 o Open Draw2).|Que són ordres addicionals? Després d'instal·lar els drivers de la impressora en propietats de la mateixa trobem una pestanya d'ordres addicionals / des aquí marcarem l'opció d'obertura de calaix (Open Draw1 o Open Draw2).
Apertura estandar para impresoras USB|Obertura estàndard per a impressores USB
Para impresoras con comandos adicionales: (serie, paralelo, usb)|Per a impressores amb comandaments addicionals: (sèrie, paral·lel, USB)
Para impresoras salida serie:|Per a impressores sortida sèrie:
Configuracion de Apertura de Cajon|Configuració d'Obertura de Calaix
Si conoce que tipo de conexion tiene su impresora de tickets seleccione la que le corresponde en caso contrario pruebe cada uno de ellos hasta confirmar cual es el que abre.|Si coneix quin tipus de connexió té el seu impressora de tiquets seleccioneu la que li correspon en cas contrari provi cada un d'ells fins a confirmar quin és el que obre.
Ayuda|ajuda
Configuracion de Cajetin|Configuració de Caixetí
Courier New|Courier New
Seleccione Tamaño Letra: Cuerpo|Seleccioneu Mida Lletra: Cos
Seleccione Tamaño Letra: Titulo|Seleccioneu Mida Lletra: Títol
Seleccione Tipo Letra|Seleccioneu Tipus Lletra
Tipo / Tamaño Letra|Tipus / Mida Lletra
Nro. de Decimales que quiero utilizar|Nro. De Decimals que vull utilitzar
Mi impresora imprime|La meva impressora imprimeix
Nro. de caracteres de su impresora|Nro. De caràcters del seu impressora
caracteres por linea|caràcters per línia
Poblacion:|població:
Direccion:|Direcció:
Tel:|Tel:
CIF / DNI:|CIF / DNI:
Cliente:|Client:
Empleado:|Empleat:
Fact. Simpli:|Fact. simpli:
Codigo Barras|Codi Barres
Lineas en blanco al final del ticket = |Línies en blanc al final del tiquet =
Escriba aqui su comentario del final de ticket|Escrigui aquí el seu comentari del final de tiquet
** Gracias por su visita **|** Gràcies per la seva visita **
Impuestos Incluidos|Impostos Inclosos
Varias lineas para descripcion del producto|Diverses línies per descripció del producte
Añadir codigo de barras en descripcion de producto|Afegir codi de barres en descripció de producte
Otras Opciones|altres Opcions
Mostrar P. Unitario|Mostra P. Unitari
Desglose Impuesto|desglossament Impost
Total en Letras|Total en Lletres
Utilizar SubTotal|utilitzar Subtotal
Cuota|quota
Base|base
Tipo IVA|tipus IVA
Entrega|lliurament
P. U.|P. O.
Descripcion|Descripció
Uds|Vostès
WEB|WEB
Puede cambiar|Podeu canviar
CIF|CIF
Nombre Empresa|nom Empresa
Imagen al Principio|Imatge al Principi
Datos de Cabecera|Dades de Capçalera
Clic para cambiar Imagen|Clic per canviar Imatge
Nro Venta/Pie de Ticket|Nro Venda / Peu de Ticket
Diseño Ticket|disseny Ticket
Valor de venta en letras|Valor de venda en lletres
Diseño de Ticket|Disseny de Ticket
Pie de Ticket|Peu de Ticket
Detalles del  Ticket|Detalls del Ticket
Vista Previa|vista Prèvia
Cabecera  Ticket|capçalera Ticket
Datos del  Cliente|Dades del Client
Clave:|clau:
Usuario: Director|Usuari: Director
Está a punto de realizar la restauración de sus copias de seguridad de sus bases de datos.  Para ello deberá localizar su copia de seguridad en su disco duro o en su modulo de memoria extraible.  Dicha operación demorará unos segundos, una vez finaliz|Està a punt de realitzar la restauració de les seves còpies de seguretat de les seves bases de dades. Per a això haurà de localitzar la seva còpia de seguretat en el seu disc dur o en la seva mòdul de memòria extraïble. L'esmentada operació demorarà uns segons, un cop va finalitzar
TPV Hosteleria|TPV Hostaleria
Grafica de Envios|Grafica de Enviaments
Relacion Emails Enviados|Relacion Emails Enviats
Envio Promocion|enviament Promoció
Crear Plantillas Reservas|Crear Plantilles Reserves
Envio Puntual|enviament puntual
Crear Plantillas|crear Plantilles
Activar Servicio De Correos|Activa Servei De Correus
Enviados:|enviats:
Label6|Label6
Saldo:|saldo:
Su ID Es|El seu ID És
Servicio Correo|Servei Correu
Le hemos asignado  20 correos gratis|Li hem assignat 20 correus gratis
Su registro se ha realizado con exito|El seu registre s'ha realitzat amb èxit
Nombre de Usuario|Nom d'usuari
Correo de Contacto|Correu de Contacte
Incluir Logo|incloure Logo
Pie de Correo|Peu de Correu
Configuracion Correo|configuració Correu
Mensaje Enviado|missatge Enviat
Enviar|Enviar
Envio Puntual de Correo|Enviament puntual de Correu
toolStrip1|toolStrip1
Mensaje|missatge
Remitente|remitent
Asunto|assumpte
Destinatario|destinatari
Seleccione el intervalo de fechas|Seleccioneu l'interval de dates
Chart1|Chart1
Grafico|gràfic
Nueva Plantilla|Nova Plantilla
Plantillas Promociones|plantilles Promocions
Guardado Correctamente|Saved Correctament
No|no
Sí|sí
¿Desea cargar el diseño anterior?|Voleu carregar el disseny anterior?
Nombre Plantilla|nom Plantilla
Plantilla 3|plantilla 3
Plantilla 2|plantilla 2
Plantilla 1|plantilla 1
Plantilla|plantilla
<---- Texto que aparece en el cuerpo de la promocion|<---- Text que apareix en el cos de la promoció
<---- Escriba el  texto que desea que aparezca en la parte inferior de la promocion|<---- Escrigui el text que voleu que aparegui a la part inferior de la promoció
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la promocion|<---- Escrigui el títol o el text que voleu que aparegui a la capçalera de la promoció
Pie de página|Peu de pàgina
Titulo|Títol
<---- Haga un click para insertar la imagen|<---- Feu un clic per inserir la imatge
Plantilla Guardada|plantilla Guardada
Cuerpo del Mensaje|Cos del Missatge
Plantilla Reservas|plantilla Reserves
<---- Texto que se genera automaticamente|<---- Text que es genera automàticament
<---- Escriba el  texto que desea que aparezca en la parte inferior de la reserva|<---- Escrigui el text que voleu que aparegui a la part inferior de la reserva
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la reserva|<---- Escrigui el títol o el text que voleu que aparegui a la capçalera de la reserva
Configurar Email|Configura email
Mostrar clientes|Mostra clients
Filtrar Clientes para Enviar Email|Filtrar Clients per Enviar email
Seleccione una opcion|Seleccioneu una opció
Menor que|Més petit que
Mayor que|més gran que
Consumo|consum
Ingrese un codigo postal|Introduïu un codi postal
Todos los clientes|Tots els clients
Num. Visita|Num. Visita
Cumpleaños|aniversari
Enviando Emails|enviant Emails
Cerrar|Tancar
Ctrl+C para copiar los correos de esta lista para hacer un envio desde la aplicacion de correo electronico (gmail, hotmail, etc...) que desee.|Ctrl + C per copiar els correus d'aquesta llista per fer un enviament des l'aplicació de correu electrònic (gmail, hotmail, etc ...) que desitgi.
Lista de correos seleccionados|Llista de correus seleccionats
Enviar Email a Clientes Seleccionados|Enviar Email a Clients seleccionats
Lista de clientes|Llista de clients
 Mostrar Todos| mostrar Tots
Emails Seleccionados|emails seleccionats
Marcar Todos|marcar Tots
Copiar Emails seleccionados  para envio manual|Copia Emails seleccionats per enviament manual
 Mostrar solo con Email Valido| Mostra només amb email Valido
Clientes Seleccionados|clients seleccionats
Cantidad de clientes que cumplen las condiciones|Nombre de clients que compleixen les condicions
Importe|import
Visitas|visites
* Si no pone un correo electronico valido no recibirá respuesta|* Si no posa un correu electrònic valgut no rebrà resposta
Telefono:|Telèfon:
Email: *|E-mail: *
Ingrese sus datos para poder responderle|Introduïu les seves dades per poder respondre-
Formule su Consulta|Formuleu la seva Consulta
Aviso de averia|Avís d'averia
Pregunta o Consulta|Pregunta o Consulta
Tipo de Consulta|Tipus de Consulta
Si tiene alguna Incidencia / Pregunta sobre nuestro programa utilice esta opcion siguiendo los pasos:|Si té alguna Incidència / Pregunta sobre el nostre programa utilitzeu aquesta opció seguint els passos:
Aviso de Averia / Consulta|Avís de Averia / Consulta
Asistencia y Sugerencias|Assistència i Suggeriments
Si no tiene contratado este servicio nuestra empresa no tiene la obligacion de dar ningun tipo de servicio o ser responsable de algun cambio de su sistema informatico.|Si no té contractat aquest servei nostra empresa no té l'obligació de donar cap tipus de servei o ser responsable de algun canvi del seu sistema informàtic.
Si la compra de este producto ha superado el año y tiene caducado la asistencia / actualizaciones del programa, y tiene un problema recuerde, primero contratar nuestro servicio de asistencia para una solucion adecuada.|Si la compra d'aquest producte ha superat l'any i té caducat l'assistència / actualitzacions del programa, i té un problema recordi, primer contractar el nostre servei d'assistència per a una solució adequada.
Cambio de equipo informatico, cambio de disco duro, formateo de disco duro, etc...|Canvi d'equip informatico, canvi de disc dur, formateig del disc dur, etc ...
4.- Estimado cliente recuerde que sólo podrá recibir las actualizaciones del programa en caso de tener el contrato de mantenimiento al día.|4.- Benvolgut client recordi que només podrà rebre les actualitzacions del programa en cas de tenir el contracte de manteniment al dia.
3.- Si se produce alguno de estos casos anteriores, antes de realizar ninguna acción,  pongase en contacto con el departamento técnico de SolverMedia comercial@solvermedia.com para que le ayuden a realizar el cambio.|3.- Si es produeix algun d'aquests casos anteriors, abans de realitzar cap acció, posis en contacte amb el departament tècnic de SolverMedia comercial@solvermedia.com perquè l'ajudin a fer el canvi.
2.- La empresa SolverMedia no concederá una nueva licencia a aquellos clientes que por problemas ajenos a SolverMedia hallan perdido el registro del programa, esos problemas pueden venir causados por:|2.- L'empresa SolverMedia no concedirà una nova llicència a aquells clients que per problemes aliens a SolverMedia troben perdut el registre del programa, aquests problemes poden venir causats per:
1.- La empresa SolverMedia no se responsabiliza de la mala manipulación de su registro de licencia así como del numero asignado para su registro.|1.- L'empresa SolverMedia no es responsabilitza de la mala manipulació del seu registre de llicència així com del nombre assignat per al seu registre.
La contraseña de direccion es: |La contrasenya de direcció és:
Maximo 8 caracteres|Màxim 8 caràcters
Confirme la contraseña|Confirmeu la contrasenya
Ingrese la contraseña nueva|Introduïu la contrasenya nova
Ingrese la contraseña anterior|Introduïu la contrasenya anterior
Recordatorio de contraseña de direccion|Recordatori de contrasenya de direcció
Cambio de contraseña de direccion|Canvi de contrasenya de direcció
Volver a intentar|Tornar a intentar
Las respuestas introducidas no son correctas|Les respostes introduïdes no són correctes
Para poder recordarle la contraseña de direccion es necesario que responda a las siguientes preguntas|Per poder recordar-li la contrasenya de direcció cal que respongui a les següents preguntes
Año|any
Mes|Mes
Dia|dia
Ingrese el segundo apellido de su madre|Introduïu el segon cognom de la seva mare
Indique su fecha de nacimiento|Indiqui la seva data de naixement
Si olvida la contraseña que acaba de introducir podra recuperarla respondiendo a las preguntas anteriores.|Si oblideu la contrasenya que acaba d'introduir podrà recuperar-la responent a les preguntes anteriors.
La contraseña y las respuestas de recordatorio se han guardado correctamente.|La contrasenya i les respostes de recordatori s'han guardat correctament.
Boletas|butlletes
Facturas|factures
codCliente|codCliente
Cliente|Client
F.Pago|F.Pago
** clic en la lista o introduzca el numero de ticket|** clic a la llista o introduïu el nombre de tiquet
Ingrese el numero de ticket / factura|Introduïu el nombre de tiquet / factura
Lista de las ultimas ventas|Llista de les ultimes vendes
Concepto del gasto|Concepte de la despesa
Gastos Del Día|Despeses Del Dia
Ultimos 50 gastos (clic para modificar)|Últims 50 despeses (clic per modificar)
ESPACIO|ESPAI
BORRAR|ESBORRAR
Deja en Caja :|Deixa en Caixa:
Cerrar Ventas/Imprimir|Tancar Vendes / Imprimir
Observaciones de caja:|Observacions de caixa:
Suma/Conteo de caja del turno actual|Suma / Conteo de caixa del torn actual
Seleccione las monedas de su pais|Seleccioneu les monedes del seu país
Cargar monedas de la Zona Euro|Carregar monedes de la Zona Euro
Valor n|valor n
Terminal = XXX|Terminal = XXX
Total monedas|total monedes
Total tarjetas|total targetes
Total otras formas de pago|Total altres formes de pagament
Caja Inicial:|Caixa Inicial:
Num total de operaciones de este terminal|Num total d'operacions d'aquest terminal
Num total operaciones otras formas pago|Num total operacions altres formes pagament
Num total operaciones tarjeta|Num total operacions targeta
Num total operaciones contado|Num total operacions comptat
Max. 20|Max. 20
Número de tipos de moneda a utilizar:|Nombre de tipus de moneda a utilitzar:
Seleccione las monedas en circulacion de su pais|Seleccioneu les monedes en circulació del seu pais
Tipo 20|tipus 20
Nota: Esta opcion solo esta pensado para aquellos clientes que en su pais el valor de sus monedas es diferente al establecido para la zona Euro.|Nota: Aquesta opció només està pensat per a aquells clients que al seu país el valor de les seves monedes és diferent a l'establert per a la zona euro.
Importe a Retirar|Import a Retirar
Retiradas|retirades
TELEF|TELEF
Borrando|esborrant
Hora Reserva|hora Reserva
Nro comensales|Nro comensals
Todos|tots
Cena|sopar
Almuerzo|dinar
Desayuno|esmorzar
MESAS =|TAULES =
H O R A S|H O R A S
Seleccione Horario|Seleccioneu Horari
*Clic para seleccionar salon|* Clic per seleccionar saló
R e s e r v a s|R e s i r v e s
Diseñar Plantilla reserva|Dissenyar Plantilla reserva
Nueva Reserva|Nova Reserva
Hora de Reserva|Hora de Reserva
Nro de Comensales|Nro de Comensals
Teléfono|telèfon
* Click en la columna de telefono para ver la direccion|* Click a la columna de telèfon per veure la direcció
Resultado de la Búsqueda|Resultat de la Cerca
Movil|mòbil
C. Postal|C. postal
Limpiar|netejar
DNI|DNI
Puerta:|porta:
Fijo / Movil|Fix / Mòbil
Piso:|pis:
C. Postal:|C. Postal:
Número:|nombre:
Email:|E-mail:
Modificar Datos|modificar Dades
Nuevo Cliente|nou Client
Activar Precios para este terminal de venta|Activa Preus per a aquest terminal de venda
Crear nueva o modificar una lista de precios existente|Crea un o modificar una llista de preus existent
Listas de Precios|Llistes de Preus
Listas activa en este terminal|Llistes activa en aquest terminal
Listas de precios no activa|Llistes de preus no activa
La lista de precios que ha seleccionado esta fuera del rango actual|La llista de preus que ha seleccionat aquesta fora del rang actual
Nombre (click para seleccionar/desactivar)|Nom (clic per seleccionar / desactivar)
activa|activa
Fecha Alta|data d'alta
Prod. en Lista|Prod. En Llista
Codigo Precio|Codi Preu
C. P.|C. P.
Cif / Dni|CIF / DNI
Realizando cambios|realitzant canvis
alturapanel|alturapanel
Los mismos pasos 1, 2 para margen comercial o precio de venta.|Els mateixos passos 1, 2 per marge comercial o preu de venda.
* Clic sobre el impuesto que desea cambiar|* Clic sobre l'impost que voleu canviar
De:|de:
Cambio el valor de los impuestos|Canvi el valor dels impostos
Deseo cambiar|Desitjo canviar
a:|a:
Nro. de Productos|Nro. De Productes
2.-Luego seleccione el proveedor o seleccione la opcion todos.|2.-Després seleccioneu el proveïdor o seleccioneu l'opció tots.
Con redondeo|amb arrodoniment
Sin redondeo|sense arrodoniment
Todos los productos|Tots els productes
Productos del Proveedor|Productes del Proveïdor
Coste|cost
Cambio de Coste / Precio|Canvi de Cost / Preu
1.-Si desea aumentar el coste, solo debe ingresar el porcentaje en la caja del mismo.|1.-Per augmentar el cost, només ha d'ingressar el percentatge a la caixa del mateix.
Recuerde que este proceso es irreversible. Confirme y  verifique los porcentajes que está aumentando.|Recordeu que aquest procés és irreversible. Confirmeu i verifiqui els percentatges que està augmentant.
Este proceso automatiza el aumento de precio, margen comercial y coste de los productos.|Aquest procés automatitza l'augment de preu, marge comercial i cost dels productes.
Aumento de Precios|Augment de Preus
Nombre Servidor SQL Server|Nom Servidor SQL Server
Utilizar  SQL   Server . . . . . |Utilitzar SQL Server. . . . .
UTILIZAR SQL SERVER|UTILITZAR SQL SERVER
Más Información|més Informació
Dirigido para aquellas empresas con volumenes de datos altos o muchas interacciones simultaneas soporta varios PC conectados en red sin problemas de concurrencias y trafico de datos. (si este es su caso nuestro programa funciona perfectamente con este ges|Dirigit per a aquelles empreses amb volums de dades alts o moltes interaccions simultànies suporta diversos PC connectats en xarxa sense problemes de concurrències i tràfic de dades. (Si aquest és el cas nostre programa funciona perfectament amb aquest ges
SQL SERVER|SQL SERVER
Indicado para empresas con volumen de datos bajos 1 o 2 PC en red.|Indicat per a empreses amb volum de dades baixos 1 o 2 PC en xarxa.
ACCESS|ACCESS
El Tipo de Base De Datos Que Su Negocio Necesita|El Tipus de Base de Dades Que El seu Negoci Necessita
Pasar a la version Basica o Completa|Passar a la versió Basica o Completa
Configure los Horarios de su establecimiento|Configureu els Horaris del seu establiment
Label2|Label2
a |a
El Horario del Establecimiento es:|L'Horari de l'Establiment és:
El Horario de Cocina es:|L'Horari de Cuina és:
Seleccione el Horario del Establecimiento|Seleccioneu l'Horari de l'Establiment
Seleccione el Horario de Cocina|Seleccioneu l'Horari de Cuina
4.- Solo le recomendamos que contrate este servicio y utilice esta opcion si solo si su empresa verdaderamente lo necesita, por nuestra experiencia el 90% de los usuarios de Puntos de Venta del sector retail no necesitan tener esta base de datos instalada|4.- Només li recomanem que contracti aquest servei i utilitzi aquesta opció si només si la seva empresa veritablement ho necessita, per la nostra experiència el 90% dels usuaris de Punts de Venda del sector retail no necessiten tenir aquesta base de dades instal·lada
3.- Tiene que indicarnos los nombre de los usuarios que utilizaran el programa para crear los usuarios en la base de datos. (este servicio incluye 3 usuarios si desea mas usuarios el coste es de 5 Euros por cada uno)|3.- Ha de indicar-nos els nom dels usuaris que utilitzessin el programa per crear els usuaris a la base de dades. (Aquest servei inclou 3 usuaris si desitja més usuaris el cost és de 5 euros per cada un)
2.- Tiene que tener instalado el TeamViewer para que un tecnico pueda conectar a instalar la BD y dejarle el programa funcionando en Sql Server|2.- Ha de tenir instal·lat el TeamViewer perquè un tècnic pugui connectar a instal·lar la BD i deixar-li el programa funcionant en Sql Server
1.- Este servicio tiene un coste de 75 Euros + Iva|1.- Aquest servei té un cost de 75 Euros + Iva
Si desea utilizar el programa con Sql Server un tecnico de nuestra empresa se lo puede instalar. Pasos que tiene que tomar en cuenta.|Si voleu utilitzar el programa amb Sql Server un tecnico de la nostra empresa s'ho pot instal·lar. Passos que ha de prendre en compte.
Requisitos Para Usar Sql Server|Requisits Per Utilitza Sql Server
Numero de Ventas Menores A: |Nombre de Vendes Menors A:
Seleccione de que terminal quiere obtener la información|Seleccioneu de quina terminal vol obtenir la informació
Servicios|serveis
Completo|complet
Total General|total general
Total Gastos|total despeses
C. Inicial|C. Inicial
Total Retiradas|total Retirades
Totalizado por Forma de Pago|Totalitzat per Forma de Pagament
Ventas Generales por Dia|Vendes Generals per Dia
Esta Forma de Pago es de tipo Tarjeta|Aquesta Forma de Pagament és de tipus Targeta
Nueva Observación|Nova Observació
comensal|comensal
Observacion|observació
estado|estat
idenvio|idenvio
Seleccione la observacion que desea eliminar del panel de arriba|Seleccioneu l'observació que desitja eliminar del panell de dalt
Observaciones a Cocina|Observacions a Cuina
Posicion|posició
Escriba la nueva observacion|Escrigui la nova observació
Eliminar Observación|eliminar Observació
Seleccione Mesa Destino|Seleccioneu Taula Destinació
Total Cuenta Origen|Total Compte Origen
Seleccione Mesa A Juntar|Seleccioneu Taula A Ajuntar
Seleccione Salon Destino|Seleccioneu Salon Destinació
Seleccione Salon|Seleccioneu Salon
Pedidos en Reserva|Comandes a Reserva
Fecha Seleccionada|data Seleccionada
Total Reservas|total Reserves
Reservas Activas|reserves Actives
N. Pedido|N. Comanda
Fecha Entrega|data Lliurament
Hora Entrega|hora Lliurament
Observaciones|Observacions
Fecha de Entrega|Data de Lliurament
Hora de Entrega|Hora de Lliurament
Contraseña = |contrasenya =
Zona|zona
Venta Original|venda Original
Total Cuenta Parcial|Total Compte Parcial
Escriba la clave de gerencia|Introduïu la clau de gerència
