Configuracion Inicial|Hasierako konfigurazioa
Ancho A5 (14cm)|Zabalera A5 (14 cm)
Ancho 10 cm|Zabalera 10 cm
Ancho A4 (21cm)|Zabalera A4 (21 cm)
Formato de Factura|Faktura formatua
Logo de la Empresa|Enpresa logotipoa
Pagina Web|webgune
Direccion|helbidea
Pais|Herria
Codigo Postal|Postal Kodea
Detalles de la Empresa|Enpresa datuak
Recuerde que en la carpeta indicada en la linea superior tiene que existir el archivo nomprog.|Gogoratu goiko lerroan adierazitako karpetan nomprog fitxategia behar dela.
Paso1: Confirme que todos sus equipos esten conectados en red.  Paso2: De todos los equipos que tiene, tiene que seleccionar uno que va a hacer de servidor.  Paso3: El equipo que hara de servidor tiene que tener el disco C compartido y con los permiso|1. urratsa: berretsi ordenagailuak sare batean konektatuta dagoela. Urratsa 2: Zure ekipo guztietatik, zerbitzari bat hautatu behar duzu. 3. urratsa: Zerbitzariak disko partekatua eta baimenarekin izan behar duen taldea izan behar du
Nota: Localice el equipo que hara de servidor que la base de datos la encontrara en |Oharra: kokatu zerbitzaria datu-basea aurkitzen duen ordenagailua kokatzeko
Conectar con la base de datos|Datu-basearekin konektatu
Como tiene que poner su equipo  en modo red local (varios equipos)|Nola jarri zure ordenagailua sare lokal moduan (hainbat ordenagailu)
Conexion con otro Terminal|Beste terminal batera konektatzea
Permisos de Usuario|Erabiltzailearen baimenak
Seleccione el empleado al que va a configurar permisos|Aukeratu langilea noren baimenak ezarri nahi dituzun
Cambio Guardado|Gordetako aldaketa
Cambio de Clave|Aldatu pasahitza
* Maximo 8 caracteres|* Gehienez 8 karaktere
Confirmacion|berrespena
Nueva|berriaren
Antigua|Antigua
Cambiar Contraseña|Aldatu pasahitza
Cambios guardados|Aldaketa gordeak
Aplicar Cambios para este Empleado|Aplikatu langile honen aldaketak
Borrar Restricciones|Ezabatu murriztapenak
Opciones configurables|Aukera konfiguragarriak
NO Permite acceso al modulo|NO Modulora sartzeko aukera ematen du
Permite acceso al modulo|Modulora sartzeko aukera ematen du
Seleccione su pais|Hautatu zure herrialdea
Nombre del Impuesto (IVA, IGIC, IGV, etc.)|Zergaren izena (BEZ, IGIC, IGV, etab.)
Si en su pais no se aplica esta normativa, NO ACTIVE esta opcion|Araudi hau ez bada zure herrialdean aplikatzen, EZ aktibatu aukera hau
Si ACTIVA esta opcion, en las facturas el num. le aparecera asi: 000- 000-00-0000000X|Aukera hau aktibatzen baduzu, fakturak zenbakiak dituzu. Horrelakoa izango da: 000-000-00-0000000X
En algunos paises la normativa indica que el numero de facturas tiene que ir precedido por una serie de identificadores.|Zenbait herrialdetan, araudiek adierazten dute fakturak identifikatzaile kopuru bat baino gehiago izan behar direla.
INFORMACION SOBRE FACTURAS ESPECIALES|INFORMAZIOA BEREZITASUN BEREZIAK
Moneda|moneta
Simbolo Moneda|Moneta ikurra
Formato Hora:|Denbora formatua:
Numero de decimales ( 0,1,2)|Zenbaki hamartarrak (0,1,2)
Identificacion Fiscal (Cif, Nif, Ruc, Rut, Rnc, etc.)|Zerga-identifikazioa (Cif, Nif, Ruc, Rut, Rnc, etab.)
h=12 Horas (AM o PM)|h = 12 ordu (AM edo PM)
h=24 Horas |h = 24 ordu
Otra Moneda|Beste Moneta
Btc 1 BitCoin = |Btc 1 BitCoin =
€ 1 Euro = |Euro 1 euro =
$ 1 Dolar = |$ 1 dolarra =
Hasta 8 decimales|Gehienez 8 hamarren
Numero de credito fiscal|Zerga kreditu-zenbakia
Activar linea propina en preticket|Aktibatu punta lerroa aurrefabrikatuan
Guardar Cambios|Gorde aldaketak
Ingrese el concepto|Idatzi kontzeptua
Activar concepto Propina / Servicio / Otros|Aktibatu kontzeptua Tipping / Service / Other
(Opcion utilizada con frecuencia en algunos paises del caribe y sudameria) / No activar en paises en los que no es obligatorio cobrar propina|(Karibeko eta Sudamerako herrialde batzuetan maiz erabiltzen diren aukerak) / Ez aktibatu aholkuak kobratzeko beharrik ez dagoen herrialdeetan.
Secuencia de Apertura|Sekuentzia irekitzea
Para impresoras conexion paralela:|Konexio paralelo inprimagailuak:
Probar / Guardar|Probatu / gorde
* Click para seleccionar la secuencia de apertura|* Egin klik irekitzeko sekuentzia hautatzeko
Marca de Impresora|Inprimagailuaren marka
Modelo de Impresora|Inprimagailuaren eredua
Otras secuencias de apertura|Beste irekitzeko sekuentziak
Nota: Es posible que la impresora realice el corte sin tener que añadir ninguna secuencia de apertura, en ese caso no hace falta que configure esta opcion|Oharra: baliteke inprimagailuak ebaki egiten duela sekuentzia irekirik gabe, kasu horretan ez duzu aukera hau konfiguratu beharrik
* Click para seleccionar la secuencia de corte|* Egin klik ebaketa sekuentzia aukeratzeko
Secuencia de Corte|Ebaketa sekuentzia
Otras secuencias de Corte de Papel|Paper ebakien beste sekuentziak
Configuracion de corte automatico al final del ticket:|Txartelaren amaieran ebaketa automatikoko konfigurazioa:
¿Que son comandos adicionales? Despues de instalar los drivers de la impresora en propiedades de la misma encontramos una pestaña de comandos adicionales / desde aqui marcaremos la opcion de apertura de cajon (Open Draw1 o Open Draw2).|Zer dira komando gehigarriak? Inprimagailuaren kontrolatzaileak propietateetan instalatu ondoren, komando osagarrien fitxa bat aurkitu / hemendik tiradera irekitzeko aukera (Ireki Draw1 edo Open Draw2) markatzen dugu.
Apertura estandar para impresoras USB|USB inprimagailuen irekiera estandarra
Para impresoras con comandos adicionales: (serie, paralelo, usb)|Komando gehigarriak dituzten inprimagailuak: (serieak, paraleloak, usbak)
Para impresoras salida serie:|Irteerako serieko inprimagailuak:
Configuracion de Apertura de Cajon|Cajon irekiera konfigurazioa
Si conoce que tipo de conexion tiene su impresora de tickets seleccione la que le corresponde en caso contrario pruebe cada uno de ellos hasta confirmar cual es el que abre.|Badakizu zein motatakoa den zure txartelaren inprimagailua duen konexioa, hautatu dagokionari dagokionez, saiatu horietako bakoitza baieztatu zein den irekitzen den arte.
Ayuda|lagundu
Configuracion de Cajetin|Aldizkariaren konfigurazioa
Courier New|Courier New
Seleccione Tamaño Letra: Cuerpo|Aukeratu Letra Tamaina: Gorputza
Seleccione Tamaño Letra: Titulo|Aukeratu Letra Tamaina: Titulua
Seleccione Tipo Letra|Aukeratu letra mota
Tipo / Tamaño Letra|Idatzi / Tamaina Letra
Nro. de Decimales que quiero utilizar|Erabili nahi dudan hamartarren kopurua
Mi impresora imprime|Nire inprimagailuak inprimatzen ditu
Nro. de caracteres de su impresora|Zure inprimagailuko karaktere kopurua
caracteres por linea|lerroko karaktereak
Poblacion:|populazio:
Direccion:|helbidea:
Tel:|Tel:
CIF / DNI:|ZIF / NAN:
Cliente:|bezeroa:
Empleado:|Langilea:
Fact. Simpli:|Izan ere. simpli:
Codigo Barras|Bar Kodea
Lineas en blanco al final del ticket = |Txartelaren amaieran lerro hutsak =
Escriba aqui su comentario del final de ticket|Idatzi hemen zure iruzkina
** Gracias por su visita **|** Eskerrik asko zure bisita **
Impuestos Incluidos|Zergak barne
Varias lineas para descripcion del producto|Hainbat produktu deskribapen lerro
Añadir codigo de barras en descripcion de producto|Gehitu kode-barra produktuaren deskribapenean
Otras Opciones|Beste aukera batzuk
Mostrar P. Unitario|Erakutsi P. Unitaria
Desglose Impuesto|Zerga-banaketa
Total en Letras|Letren guztira
Utilizar SubTotal|Erabili subtotala
Cuota|kuota
Base|oinarria
Tipo IVA|BEZ mota
Entrega|entrega
P. U.|P. U.
Descripcion|deskribapena
Uds|duzu
WEB|WEB
Puede cambiar|Aldatu egin dezakezu
CIF|CIF
Nombre Empresa|Enpresaren izena
Imagen al Principio|Hasierako irudia
Datos de Cabecera|Goiburuko datuak
Clic para cambiar Imagen|Egin klik irudia aldatzeko
Nro Venta/Pie de Ticket|Ez da salmenta / sarreren oina
Diseño Ticket|Ticket Design
Valor de venta en letras|Salmenta hizkuntzan
Diseño de Ticket|Txartelaren diseinua
Pie de Ticket|Txartelaren oina
Detalles del  Ticket|Txartelaren xehetasunak
Vista Previa|Aurreikuspen
Cabecera  Ticket|Txartelaren goiburua
Datos del  Cliente|Bezeroaren datuak
Clave:|gakoa:
Usuario: Director|Erabiltzailea: zuzendaria
Está a punto de realizar la restauración de sus copias de seguridad de sus bases de datos.  Para ello deberá localizar su copia de seguridad en su disco duro o en su modulo de memoria extraible.  Dicha operación demorará unos segundos, una vez finaliz|Zure datu-baseen babeskopiaren kopiak berreskuratu nahi dituzu. Horretarako, babeskopia zure disko gogorrean edo memoria memoria aldagarrian kokatu behar duzu. Esandako operazioek segundo batzuk iraungo dute behin amaitutakoan
TPV Hosteleria|POS Terminal Hosteleria
Grafica de Envios|Bidalketa grafikoak
Relacion Emails Enviados|Erantzun mezu elektronikoen bidalketak
Envio Promocion|Bidalketa Sustapena
Crear Plantillas Reservas|Sortu txantiloiak erreserbak
Envio Puntual|Bidalketa egokian
Crear Plantillas|Sortu txantiloiak
Activar Servicio De Correos|Aktibatu posta zerbitzua
Enviados:|bidali
Label6|Label6
Saldo:|oreka:
Su ID Es|Zure IDa da
Servicio Correo|Posta zerbitzua
Le hemos asignado  20 correos gratis|Doako 20 e-postak esleitu dizkiegu
Su registro se ha realizado con exito|Zure izena ongi burutu da
Nombre de Usuario|Erabiltzaile izena
Correo de Contacto|Harremanetarako posta elektronikoa
Incluir Logo|Sartu logotipoa
Pie de Correo|Foot Mail
Configuracion Correo|Posta konfiguratzea
Mensaje Enviado|Bidalitako mezua
Enviar|bidali
Envio Puntual de Correo|Posta bidaltzea
toolStrip1|toolStrip1
Mensaje|mezua
Remitente|bidaltzailea
Asunto|negozio
Destinatario|hartzaileak
Seleccione el intervalo de fechas|Hautatu data-tartea
Chart1|chart1
Grafico|grafikoa
Nueva Plantilla|Txantiloia berria
Plantillas Promociones|Promozioak txantiloiak
Guardado Correctamente|Gorde zuzen
No|ez
Sí|bai
¿Desea cargar el diseño anterior?|Aurreko diseinua kargatu nahi duzu?
Nombre Plantilla|Txantiloi izena
Plantilla 3|Txantiloia 3
Plantilla 2|Txantiloia 2
Plantilla 1|Txantiloia 1
Plantilla|template
<---- Texto que aparece en el cuerpo de la promocion|<---- Sustapenaren gorputzean agertzen den testua
<---- Escriba el  texto que desea que aparezca en la parte inferior de la promocion|<---- Sustapenaren behealdean agertu nahi duzun testua idaztea
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la promocion|<---- Sustapenaren goiburuan agertu nahi duzun izenburua edo testua idatzi
Pie de página|Orri-oina
Titulo|Izenburua
<---- Haga un click para insertar la imagen|<---- Egin klik irudian txertatzeko
Plantilla Guardada|Gordetako txantiloia
Cuerpo del Mensaje|Mezuen gorputza
Plantilla Reservas|Txantiloien erreserbak
<---- Texto que se genera automaticamente|<---- Automatikoki sortzen den testua
<---- Escriba el  texto que desea que aparezca en la parte inferior de la reserva|<---- Erreserba behealdean agertu nahi duzun testua idaztea
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la reserva|<---- Idatzi izenburua edo testua erreserba-goiburuan agertu nahi duzun
Configurar Email|Konfiguratu posta elektronikoa
Mostrar clientes|Erakutsi bezeroak
Filtrar Clientes para Enviar Email|Iragazkien bezeroak Bidali posta elektronikoa
Seleccione una opcion|Hautatu aukera bat
Menor que|Gutxiago baino
Mayor que|Handiagoak baino
Consumo|kontsumoa
Ingrese un codigo postal|Idatzi posta-kodea
Todos los clientes|Bezero guztiak
Num. Visita|Bisitatu zenbakia
Cumpleaños|urtebetetze
Enviando Emails|Posta elektronikoak bidaltzea
Cerrar|itxi
Ctrl+C para copiar los correos de esta lista para hacer un envio desde la aplicacion de correo electronico (gmail, hotmail, etc...) que desee.|Ktrl + C zerrenda honetako mezu elektronikoak kopiatzeko, bidali nahi duzun posta elektronikoko aplikaziotik (gmail, hotmail, eta abar).
Lista de correos seleccionados|Hautatutako mezu elektronikoak
Enviar Email a Clientes Seleccionados|Bidali mezu elektronikoak hautatutako bezeroei
Lista de clientes|Bezeroen zerrenda
 Mostrar Todos| Erakutsi guztiak
Emails Seleccionados|Hautatutako mezu elektronikoak
Marcar Todos|Markatu guztiak
Copiar Emails seleccionados  para envio manual|Kopiatu hautatutako mezu elektronikoak eskuz bidalketarako
 Mostrar solo con Email Valido| Erakutsi soilik posta elektronikoz
Clientes Seleccionados|Hautatutako bezeroak
Cantidad de clientes que cumplen las condiciones|Baldintza betetzen dituzten bezero kopurua
Importe|Zenbateko
Visitas|bisitak
* Si no pone un correo electronico valido no recibirá respuesta|* Ez baduzu baliozko mezu elektronikorik jarri, ez duzu erantzunik jasoko
Telefono:|telefono:
Email: *|Posta elektronikoa: *
Ingrese sus datos para poder responderle|Sartu zure informazioa erantzuteko
Formule su Consulta|Galdetu zure galdera
Aviso de averia|Breakdown notice
Pregunta o Consulta|Galdera edo kontsulta
Tipo de Consulta|Kontsulta mota
Si tiene alguna Incidencia / Pregunta sobre nuestro programa utilice esta opcion siguiendo los pasos:|Gure programa honi buruzko Incidentzia / Galderarik baduzu, erabili urrats hauek jarraituz:
Aviso de Averia / Consulta|Abisua / Kontsulta
Asistencia y Sugerencias|Laguntza eta Iradokizunak
Si no tiene contratado este servicio nuestra empresa no tiene la obligacion de dar ningun tipo de servicio o ser responsable de algun cambio de su sistema informatico.|Zerbitzu hau kontratatu ez baduzu, gure konpainiak ez du inolako zerbitzurik eman beharrik edo zure sistema informatikoan aldaketak egiteko ardura izango du.
Si la compra de este producto ha superado el año y tiene caducado la asistencia / actualizaciones del programa, y tiene un problema recuerde, primero contratar nuestro servicio de asistencia para una solucion adecuada.|Produktu honen erosketak urteak gainditu badu eta programaren laguntza / eguneratzeak iraungi egin badira eta arazo bat gogoratzen baduzu, lehenik, gure laguntza-zerbitzua alokatu behar da irtenbide egokia lortzeko.
Cambio de equipo informatico, cambio de disco duro, formateo de disco duro, etc...|Aldaketa ordenagailu ekipoak, disko gogorreko disko gogorreko formatua, eta abar ...
4.- Estimado cliente recuerde que sólo podrá recibir las actualizaciones del programa en caso de tener el contrato de mantenimiento al día.|4.- Bezero zoragarria, gogoratu programa eguneratzeak bakarrik jaso ditzakezula mantentze-kontratua eguneratuta duzula.
3.- Si se produce alguno de estos casos anteriores, antes de realizar ninguna acción,  pongase en contacto con el departamento técnico de SolverMedia comercial@solvermedia.com para que le ayuden a realizar el cambio.|3.- Aurreko kasu hauetakoren bat gertatuz gero, edozein ekintza egin aurretik, jarri harremanetan SolverMedia comercial@solvermedia.com zerbitzu teknikoarekin aldaketa egiteko.
2.- La empresa SolverMedia no concederá una nueva licencia a aquellos clientes que por problemas ajenos a SolverMedia hallan perdido el registro del programa, esos problemas pueden venir causados por:|2.- SolverMedia konpainiak ez du baimen berri bat emango bezeroei, SolverMedia-ren inguruan arazoak dituztenei, programaren erregistroa galdu dutelako. Horrelako arazoak honako hauek dira:
1.- La empresa SolverMedia no se responsabiliza de la mala manipulación de su registro de licencia así como del numero asignado para su registro.|1.- SolverMedia konpainiak ez du erreklamaziorik bere lizentzia erregistroaren manipulazio txarra eta erregistratzeko esleitutako kopurua.
La contraseña de direccion es: |Helbideen pasahitza hau da:
Maximo 8 caracteres|Gehienez 8 karaktere
Confirme la contraseña|Berretsi pasahitza
Ingrese la contraseña nueva|Idatzi pasahitz berria
Ingrese la contraseña anterior|Idatzi aurreko pasahitza
Recordatorio de contraseña de direccion|Helbideen pasahitza gogorarazteko
Cambio de contraseña de direccion|Helbideen pasahitza aldatu
Volver a intentar|Saiatu berriro
Las respuestas introducidas no son correctas|Erantzunak ez dira zuzena
Para poder recordarle la contraseña de direccion es necesario que responda a las siguientes preguntas|Helbide-pasahitza gogorarazteko, honako galdera hauek erantzun behar dituzu
Año|Urte
Mes|Hileko
Dia|egun
Ingrese el segundo apellido de su madre|Sartu zure ama bigarren abizena
Indique su fecha de nacimiento|Adierazi jaiotze data
Si olvida la contraseña que acaba de introducir podra recuperarla respondiendo a las preguntas anteriores.|Sartutako pasahitza ahaztu baduzu, berreskura dezakezu aurreko galderekin erantzunez.
La contraseña y las respuestas de recordatorio se han guardado correctamente.|Pasahitza eta gogorarazlearen erantzunak ondo gorde dira.
Boletas|Boto
Facturas|fakturak
codCliente|codCliente
Cliente|bezero
F.Pago|F. Ordainketa
** clic en la lista o introduzca el numero de ticket|** Egin klik zerrendan edo idatzi txartelaren zenbakia
Ingrese el numero de ticket / factura|Idatzi txartelaren zenbakia / faktura
Lista de las ultimas ventas|Azken salmenten zerrenda
Concepto del gasto|Kontzeptuaren gastua
Gastos Del Día|Eguneko gastuak
Ultimos 50 gastos (clic para modificar)|Azken 50 gastuak (klik egin aldatu)
ESPACIO|SPACE
BORRAR|CLEAR
Deja en Caja :|Utzi koadroan:
Cerrar Ventas/Imprimir|Itxi salmentak / Inprimatu
Observaciones de caja:|Diruaren behaketak:
Suma/Conteo de caja del turno actual|Sum / egungo maiuskulen zenbaketa
Seleccione las monedas de su pais|Hautatu zure herrialdeko moneta
Cargar monedas de la Zona Euro|Kargatu euroguneko txanponak
Valor n|Balioa n
Terminal = XXX|Terminal = XXX
Total monedas|Txanponak guztira
Total tarjetas|Txartelak guztira
Total otras formas de pago|Beste ordainketa metodo batzuk
Caja Inicial:|Hasierako dirua:
Num total de operaciones de este terminal|Terminal honen eragiketa kopurua
Num total operaciones otras formas pago|Zenbakizko eragiketen beste forma batzuk ordainketa
Num total operaciones tarjeta|Zenbakizko txartelen eragiketak
Num total operaciones contado|Kontuak zenbatutako guztirakoak
Max. 20|Max. 20
Número de tipos de moneda a utilizar:|Moneta motak erabili beharrekoa:
Seleccione las monedas en circulacion de su pais|Aukeratu zure herrialdeko zirkulazioko moneta
Tipo 20|Idatzi 20
Nota: Esta opcion solo esta pensado para aquellos clientes que en su pais el valor de sus monedas es diferente al establecido para la zona Euro.|Oharra: Aukera hau bere herrialdeko herrialdeetan beren moneta-balioa ezberdina da Eurogunerako ezarrita dagoenarengatik.
Importe a Retirar|Berreskuratzeko zenbatekoa
Retiradas|bajak
TELEF|TELEF
Borrando|obliterating
Hora Reserva|Erreserba ordua
Nro comensales|Ez dago dirurik
Todos|guztiak
Cena|afaria
Almuerzo|bazkaria
Desayuno|gosaria
MESAS =|TAULA =
H O R A S|H O R A S
Seleccione Horario|Aukeratu ordutegia
*Clic para seleccionar salon|* Egin klik gela hautatzeko
R e s e r v a s|R e s e r v a s
Diseñar Plantilla reserva|Diseinu txantiloia liburua
Nueva Reserva|Erreserba berria
Hora de Reserva|Erreserba ordua
Nro de Comensales|Diner kopurua
Teléfono|telefono
* Click en la columna de telefono para ver la direccion|* Egin klik telefonoaren zutabean helbidea ikusteko
Resultado de la Búsqueda|Bilaketa emaitza
Movil|Movil
C. Postal|C. Postala
Limpiar|garbi
DNI|DNI
Puerta:|atea:
Fijo / Movil|Fixed / Mobile
Piso:|solairua:
C. Postal:|C. Postala:
Número:|zenbakia:
Email:|email:
Modificar Datos|Aldatu datuak
Nuevo Cliente|Bezero berria
Activar Precios para este terminal de venta|Aktibatu prezioak salmenta terminal honetarako
Crear nueva o modificar una lista de precios existente|Sortu berri bat edo aldatu lehendik dagoen prezio zerrenda
Listas de Precios|Prezio zerrendak
Listas activa en este terminal|Terminal honetako zerrendak aktiboak
Listas de precios no activa|Prezio zerrendak ez daude aktiboak
La lista de precios que ha seleccionado esta fuera del rango actual|Aukeratutako prezio zerrenda uneko barrutitik kanpo dago
Nombre (click para seleccionar/desactivar)|Izena (klikatu / desaktibatzeko)
activa|aktibo
Fecha Alta|Data altua
Prod. en Lista|Zerrenda
Codigo Precio|Prezio Kodea
C. P.|C. P.
Cif / Dni|CIF / Dni
Realizando cambios|Aldaketak egitea
alturapanel|alturapanel
Los mismos pasos 1, 2 para margen comercial o precio de venta.|Urratsak 1, 2, merkataritza-marjina edo salmenta-prezioa.
* Clic sobre el impuesto que desea cambiar|* Egin klik zerga aldatzeko
De:|maila:
Cambio el valor de los impuestos|Aldatu zergen balioa
Deseo cambiar|Aldatu nahi dut
a:|a:
Nro. de Productos|Produktuen kopurua
2.-Luego seleccione el proveedor o seleccione la opcion todos.|2.- Ondoren, aukeratu hornitzailea edo hautatu guztia aukera.
Con redondeo|Biribiltzea
Sin redondeo|Biribildu gabe
Todos los productos|Produktu guztiak
Productos del Proveedor|Hornitzaileen produktuak
Coste|kostua
Cambio de Coste / Precio|Kostuen / Prezioaren aldaketa
1.-Si desea aumentar el coste, solo debe ingresar el porcentaje en la caja del mismo.|1.-Kostua handitu nahi baduzu, idatzi laukian ehunekoa.
Recuerde que este proceso es irreversible. Confirme y  verifique los porcentajes que está aumentando.|Gogoratu prozesu hori atzeraezina dela. Berretsi eta egiaztatu handitzen ari diren ehunekoak.
Este proceso automatiza el aumento de precio, margen comercial y coste de los productos.|Prozesu honek produktuaren prezioa, komertziala eta kostua gehitzen automatizatzen ditu.
Aumento de Precios|Prezioen hazkundea
Nombre Servidor SQL Server|Zerbitzariaren izena SQL Server
Utilizar  SQL   Server . . . . . |Erabili SQL Server . . . .
UTILIZAR SQL SERVER|USE SQL SERVIDOR
Más Información|Informazio gehiago
Dirigido para aquellas empresas con volumenes de datos altos o muchas interacciones simultaneas soporta varios PC conectados en red sin problemas de concurrencias y trafico de datos. (si este es su caso nuestro programa funciona perfectamente con este ges|Datu-bolumen handiko edo aldi baterako elkarrekintza ugari dituzten enpresei zuzenduta, hainbat sare-PC onartzen ditu concurrent problems and data traffic gabe. (Hau da zure kasua bada, gure programa ondo funtzionatzen du gezekin
SQL SERVER|SQL zerbitzaria
Indicado para empresas con volumen de datos bajos 1 o 2 PC en red.|Datuen bolumen baxuko enpresei zuzenduta dago 1 edo 2 PC sarean.
ACCESS|SARBIDEA
El Tipo de Base De Datos Que Su Negocio Necesita|Zure Enpresa Beharren datu-basea
Pasar a la version Basica o Completa|Joan Oinarrizko edo Bete bertsioara
Configure los Horarios de su establecimiento|Konfiguratu zure establezimenduaren ordutegiak
Label2|lABEL2
a |to
El Horario del Establecimiento es:|Establezimenduen Ordutegia:
El Horario de Cocina es:|Sukaldeko ordutegia hau da:
Seleccione el Horario del Establecimiento|Aukeratu establezimenduaren ordutegia
Seleccione el Horario de Cocina|Aukeratu Kitchen ordutegia
4.- Solo le recomendamos que contrate este servicio y utilice esta opcion si solo si su empresa verdaderamente lo necesita, por nuestra experiencia el 90% de los usuarios de Puntos de Venta del sector retail no necesitan tener esta base de datos instalada|4.- Zerbitzu hau kontratatu eta aukera hau erabiltzea gomendatzen dugu bakarrik, zure enpresak benetan behar badu, gure esperientzia txikizkako sektoreko Saltokien erabiltzaileen% 90ek ez dute behar datu-basea instalatuta
3.- Tiene que indicarnos los nombre de los usuarios que utilizaran el programa para crear los usuarios en la base de datos. (este servicio incluye 3 usuarios si desea mas usuarios el coste es de 5 Euros por cada uno)|3.- Programa erabiltzen duten erabiltzaileek datu-basea sortzeko erabiltzaileen izenak adierazi behar dituzu. (zerbitzu honek 3 erabiltzaile ditu erabiltzaile gehiago nahi badituzu, kostua 5 eurokoa da)
2.- Tiene que tener instalado el TeamViewer para que un tecnico pueda conectar a instalar la BD y dejarle el programa funcionando en Sql Server|2.- TeamViewer instalatuta eduki behar duzu teknikari batek instalatu BD instalatzeko eta programa exekutatzen utzi Sql Server-en
1.- Este servicio tiene un coste de 75 Euros + Iva|1.- Zerbitzu honek 75 euro + BEZa du
Si desea utilizar el programa con Sql Server un tecnico de nuestra empresa se lo puede instalar. Pasos que tiene que tomar en cuenta.|Programa Sql Server-ekin erabili nahi baduzu, gure enpresako teknikariak instalatu dezake. Kontuan hartu beharreko urratsak.
Requisitos Para Usar Sql Server|Sql Server erabiltzeko baldintzak
Numero de Ventas Menores A: |Salmenta txikien kopurua A:
Seleccione de que terminal quiere obtener la información|Hautatu zein terminal lortu nahi duzun
Servicios|zerbitzuak
Completo|osoa
Total General|Guztira orokorra
Total Gastos|Gastu osoa
C. Inicial|C. Hasierako
Total Retiradas|Guztira ateratzeak
Totalizado por Forma de Pago|Ordainketen formularioaren bidez beteta
Ventas Generales por Dia|Eguneko salmentak
Esta Forma de Pago es de tipo Tarjeta|Ordainketa modua txartela da
Nueva Observación|Behaketa berria
comensal|afari
Observacion|Behaketa
estado|egoera
idenvio|idenvio
Seleccione la observacion que desea eliminar del panel de arriba|Hautatu gainetik kendu nahi duzun behaketa
Observaciones a Cocina|Sukaldaritza behaketak
Posicion|posizio
Escriba la nueva observacion|Idatzi behaketa berria
Eliminar Observación|Ezabatu behaketa
Seleccione Mesa Destino|Hautatu Destination Table
Total Cuenta Origen|Kontu osoaren jatorria
Seleccione Mesa A Juntar|Hautatu Taula Erregistratu
Seleccione Salon Destino|Aukeratu helmugako gela
Seleccione Salon|Hautatu Aretoa
Pedidos en Reserva|Erreserbako eskariak
Fecha Seleccionada|Hautatutako data
Total Reservas|Erreserbak guztira
Reservas Activas|Erreserbak aktiboak
N. Pedido|N. Orden
Fecha Entrega|Bidalketaren data
Hora Entrega|Entregatzeko ordua
Observaciones|nabarmentzea
Fecha de Entrega|Bidalketaren data
Hora de Entrega|Entregatzeko ordua
Contraseña = |Pasahitza =
Zona|zona
Venta Original|Salmenta originala
Total Cuenta Parcial|Kontu partzial osoa
Escriba la clave de gerencia|Sartu kudeaketa-tekla
