Configuracion Inicial|Configuración inicial
Si ACTIVA esta opcion, en las facturas el num. le aparecera asi: 000- 000-00-0000000X|Se activa esta opción, nas facturas o num. aparecerá así: 000-000-00-0000000X
En algunos paises la normativa indica que el numero de facturas tiene que ir precedido por una serie de identificadores.|Nalgúns países, as normativas indican que o número de facturas debe ir precedido dunha serie de identificadores.
INFORMACION SOBRE FACTURAS ESPECIALES|INFORMACIÓN SOBRE FACTURAS ESPECIAIS
Moneda|Moeda
Simbolo Moneda|Símbolo de moeda
Formato Hora:|Formato de tempo:
Numero de decimales ( 0,1,2)|Número de decimais (0,1,2)
Identificacion Fiscal (Cif, Nif, Ruc, Rut, Rnc, etc.)|Identificación fiscal (Cif, Nif, Ruc, Rut, Rnc, etc.)
h=12 Horas (AM o PM)|h = 12 horas (AM ou PM)
h=24 Horas |h = 24 horas
Otra Moneda|Outra moeda
Btc 1 BitCoin = |Btc 1 BitCoin =
€ 1 Euro = |€ 1 euro =
$ 1 Dolar = |$ 1 Dólar =
Hasta 8 decimales|Ata 8 decimais
Numero de credito fiscal|Número de crédito fiscal
Activar linea propina en preticket|Activar a liña de punta na versión previa
Guardar Cambios|Gardar cambios
Ingrese el concepto|Introduza o concepto
Activar concepto Propina / Servicio / Otros|Activar o concepto de Propagación / Servizo / Outro
(Opcion utilizada con frecuencia en algunos paises del caribe y sudameria) / No activar en paises en los que no es obligatorio cobrar propina|(Opción usada con frecuencia nalgúns países do Caribe e Sudamérica) / Non se active en países onde non é obrigatorio cargar consellos
Secuencia de Apertura|Apertura de secuencia
Para impresoras conexion paralela:|Para impresoras de conexión paralelas:
Probar / Guardar|Probar / gardar
* Click para seleccionar la secuencia de apertura|* Faga clic para seleccionar a secuencia de apertura
Marca de Impresora|Marca da impresora
Modelo de Impresora|Modelo da impresora
Otras secuencias de apertura|Outras secuencias de apertura
Nota: Es posible que la impresora realice el corte sin tener que añadir ninguna secuencia de apertura, en ese caso no hace falta que configure esta opcion|Nota: É posible que a impresora tome o corte sen ter que engadir ningunha secuencia de apertura, nese caso non necesitará configurar esta opción
* Click para seleccionar la secuencia de corte|* Faga clic para seleccionar a secuencia de corte
Secuencia de Corte|Secuencia de corte
Otras secuencias de Corte de Papel|Outras secuencias de corte de papel
Configuracion de corte automatico al final del ticket:|Configuración automática de corte ao final do billete:
¿Que son comandos adicionales? Despues de instalar los drivers de la impresora en propiedades de la misma encontramos una pestaña de comandos adicionales / desde aqui marcaremos la opcion de apertura de cajon (Open Draw1 o Open Draw2).|Cales son os comandos adicionais? Despois de instalar os controladores da impresora nas propiedades do mesmo, atope unha lapela de comandos adicionais / desde aquí marquemos a opción de abrir o caixón (Open Draw1 ou Open Draw2).
Apertura estandar para impresoras USB|Apertura estándar para impresoras USB
Para impresoras con comandos adicionales: (serie, paralelo, usb)|Para impresoras con comandos adicionais: (serie, paralelo, usb)
Para impresoras salida serie:|Para impresoras de saída en serie:
Configuracion de Apertura de Cajon|Configuración de Apertura do Cajón
Si conoce que tipo de conexion tiene su impresora de tickets seleccione la que le corresponde en caso contrario pruebe cada uno de ellos hasta confirmar cual es el que abre.|Se coñece o tipo de conexión que ten a súa impresora de boleto, seleccione o que lle corresponde, probe con cada un deles ata que confirme que se abre.
Ayuda|Axuda
Configuracion de Cajetin|Configuración do boletín
Courier New|Mensaxeiro Novo
Seleccione Tamaño Letra: Cuerpo|Seleccionar tamaño da letra: corpo
Seleccione Tamaño Letra: Titulo|Seleccione Carta Tamaño: título
Seleccione Tipo Letra|Seleccione Carta de tipo
Tipo / Tamaño Letra|Carta de tipo / tamaño
Nro. de Decimales que quiero utilizar|Número de decimais que quero usar
Mi impresora imprime|A miña impresora imprime
Nro. de caracteres de su impresora|Número de caracteres da impresora
caracteres por linea|caracteres por liña
Poblacion:|Poboación:
Direccion:|Enderezo:
Tel:|Tel:
CIF / DNI:|CIF / DNI:
Cliente:|Cliente:
Empleado:|Empregado:
Fact. Simpli:|Feito. Simples:
Codigo Barras|Código de barras
Lineas en blanco al final del ticket = |Liñas en branco ao final do billete =
Escriba aqui su comentario del final de ticket|Escribe aquí o teu comentario do billete
** Gracias por su visita **|** Grazas pola túa visita **
Impuestos Incluidos|Impostos incluídos
Varias lineas para descripcion del producto|Varias liñas para a descrición do produto
Añadir codigo de barras en descripcion de producto|Engadir código de barras na descrición do produto
Otras Opciones|Outras opcións
Mostrar P. Unitario|Mostrar P. Unitario
Desglose Impuesto|Taxa tributaria
Total en Letras|Total en cartas
Utilizar SubTotal|Usar SubTotal
Cuota|Tarifa
Base|Base
Tipo IVA|Tipo de IVE
Entrega|Entrega
P. U.|P. U.
Descripcion|Descrición
Uds|Ti
WEB|WEB
Puede cambiar|Podes cambiar
CIF|CIF
Nombre Empresa|Nome da empresa
Imagen al Principio|Imaxe no comezo
Datos de Cabecera|Datos de cabeceira
Clic para cambiar Imagen|Fai clic para cambiar a imaxe
Nro Venta/Pie de Ticket|Sen venda / pés de billete
Diseño Ticket|Deseño de billetes
Valor de venta en letras|Valor de venda en letras
Diseño de Ticket|Deseño de billetes
Pie de Ticket|Pase de billetes
Detalles del  Ticket|Detalles do boleto
Vista Previa|Vista previa
Cabecera  Ticket|Cabeceira de billetes
Datos del  Cliente|Datos do cliente
Clave:|Contrasinal:
Usuario: Director|Usuario: Director
Está a punto de realizar la restauración de sus copias de seguridad de sus bases de datos.  Para ello deberá localizar su copia de seguridad en su disco duro o en su modulo de memoria extraible.  Dicha operación demorará unos segundos, una vez finaliz|Estás a piques de restaurar as túas copias de seguridade das túas bases de datos. Para iso debes atopar a túa copia de seguridade no disco ríxido ou o módulo de memoria extraíble. Dita operación levará uns segundos, unha vez que remate
TPV Hosteleria|POS Terminal Hosteleria
Grafica de Envios|Gráficos de envío
Relacion Emails Enviados|Relación de correos electrónicos enviados
Envio Promocion|Promoción do envío
Crear Plantillas Reservas|Crea Reservas de Modelos
Envio Puntual|Envío oportuno
Crear Plantillas|Crear modelos
Activar Servicio De Correos|Activar o servizo de publicación
Enviados:|Enviado:
Label6|Etiqueta6
Saldo:|Balance:
Su ID Es|A túa identidade é
Servicio Correo|Servizo de correo
Le hemos asignado  20 correos gratis|Nós asignámoslle 20 correos electrónicos gratuítos
Su registro se ha realizado con exito|O seu rexistro completouse con éxito
Nombre de Usuario|Nome de usuario
Correo de Contacto|Correo electrónico de contacto
Incluir Logo|Incluír o logotipo
Pie de Correo|Correo a pé
Configuracion Correo|Configuración de correo
Mensaje Enviado|Mensaxe enviada
Enviar|Enviar
Envio Puntual de Correo|Envío de correo
toolStrip1|toolStrip1
Mensaje|Mensaxe
Remitente|Remitente
Asunto|Asunto
Destinatario|Destinatario
Seleccione el intervalo de fechas|Seleccione o intervalo de datas
Chart1|Gráfico1
Grafico|Gráfico
Nueva Plantilla|Nova modelo
Plantillas Promociones|Plantillas de promocións
Guardado Correctamente|Gardado correctamente
No|Non
Sí|Si
¿Desea cargar el diseño anterior?|Desexa cargar o proxecto anterior?
Nombre Plantilla|Nome do modelo
Plantilla 3|Modelo 3
Plantilla 2|Modelo 2
Plantilla 1|Modelo 1
Plantilla|Modelo
<---- Texto que aparece en el cuerpo de la promocion|<---- Texto que aparece no corpo da promoción
<---- Escriba el  texto que desea que aparezca en la parte inferior de la promocion|<---- Escribe o texto que queres que apareza na parte inferior da promoción
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la promocion|<---- Escribe o título ou o texto que queres que apareza no encabezado da promoción
Pie de página|Pé de páxina
Titulo|Título
<---- Haga un click para insertar la imagen|<---- Prema para inserir a imaxe
Plantilla Guardada|Plantilla gardada
Cuerpo del Mensaje|Corpo da mensaxe
Plantilla Reservas|Reservas de modelos
<---- Texto que se genera automaticamente|<---- Texto que se xera automaticamente
<---- Escriba el  texto que desea que aparezca en la parte inferior de la reserva|<---- Escriba o texto que desexa que apareza na parte inferior da reserva
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la reserva|<---- Escriba o título ou o texto que desexa que apareza no encabezado de reserva
Configurar Email|Configurar o correo electrónico
Mostrar clientes|Amosar clientes
Filtrar Clientes para Enviar Email|Clientes de filtro para enviar correo electrónico
Seleccione una opcion|Selecciona unha opción
Menor que|Menos que
Mayor que|Maior que
Consumo|Consumo
Ingrese un codigo postal|Introduce un código postal
Todos los clientes|Todos os clientes
Num. Visita|Número de visita
Cumpleaños|Aniversario
Enviando Emails|Envío de correos electrónicos
Cerrar|Pechar
Ctrl+C para copiar los correos de esta lista para hacer un envio desde la aplicacion de correo electronico (gmail, hotmail, etc...) que desee.|Ctrl + C para copiar os correos desde esta lista para facer un envío dunha aplicación de correo electrónico (Gmail, Hotmail, etc ...) que quere.
Lista de correos seleccionados|Lista de correos electrónicos seleccionados
Enviar Email a Clientes Seleccionados|Enviar correo electrónico a clientes seleccionados
Lista de clientes|Lista de clientes
 Mostrar Todos| Mostrar todo
Emails Seleccionados|Correos electrónicos seleccionados
Marcar Todos|Marcar todo
Copiar Emails seleccionados  para envio manual|Copia os correos electrónicos seleccionados para a entrega manual
 Mostrar solo con Email Valido| Amosar só co correo electrónico válido
Clientes Seleccionados|Clientes seleccionados
Cantidad de clientes que cumplen las condiciones|Número de clientes que cumpren as condicións
Importe|Cantidade
Visitas|Visitas
* Si no pone un correo electronico valido no recibirá respuesta|* Se non pon un correo electrónico válido, non recibirá unha resposta
Telefono:|Teléfono:
Email: *|Correo electrónico: *
Ingrese sus datos para poder responderle|Introduce a túa información para poder responder
Formule su Consulta|Fai a túa pregunta
Aviso de averia|Aviso de desglose
Pregunta o Consulta|Pregunta ou consulta
Tipo de Consulta|Tipo de consulta
Si tiene alguna Incidencia / Pregunta sobre nuestro programa utilice esta opcion siguiendo los pasos:|Se ten algunha Incidência / Pregunta sobre o noso programa, use esta opción seguindo os pasos seguintes:
Aviso de Averia / Consulta|Aviso / consulta
Asistencia y Sugerencias|Asistencia e suxestións
Si no tiene contratado este servicio nuestra empresa no tiene la obligacion de dar ningun tipo de servicio o ser responsable de algun cambio de su sistema informatico.|Se non ten este servizo contratado, a nosa empresa non ten a obriga de prestar ningún tipo de servizo nin ser responsable por ningún cambio no seu sistema informático.
Si la compra de este producto ha superado el año y tiene caducado la asistencia / actualizaciones del programa, y tiene un problema recuerde, primero contratar nuestro servicio de asistencia para una solucion adecuada.|Se a compra deste produto superou o ano e a axuda / actualizacións do programa caducou e tes un problema lembrar, primeiro contrate o noso servizo de asistencia para unha solución adecuada.
Cambio de equipo informatico, cambio de disco duro, formateo de disco duro, etc...|Cambio de equipos informáticos, cambio de disco duro, formato de disco duro, etc.
4.- Estimado cliente recuerde que sólo podrá recibir las actualizaciones del programa en caso de tener el contrato de mantenimiento al día.|4.- Estimado cliente: recordade que só pode recibir actualizacións do programa se ten o contrato de mantemento actualizado.
3.- Si se produce alguno de estos casos anteriores, antes de realizar ninguna acción,  pongase en contacto con el departamento técnico de SolverMedia comercial@solvermedia.com para que le ayuden a realizar el cambio.|3.- Se ocorre algún destes casos anteriores, antes de realizar calquera acción, contacte ao departamento técnico de SolverMedia comercial@solvermedia.com para axudarche a facer o cambio.
2.- La empresa SolverMedia no concederá una nueva licencia a aquellos clientes que por problemas ajenos a SolverMedia hallan perdido el registro del programa, esos problemas pueden venir causados por:|2.- A empresa SolverMedia non concederá unha nova licenza a aqueles clientes que, debido a problemas externos a SolverMedia, perderon o rexistro do programa, estes problemas poden ser causados ​​por:
1.- La empresa SolverMedia no se responsabiliza de la mala manipulación de su registro de licencia así como del numero asignado para su registro.|1.- A empresa SolverMedia non se fai responsable da mala manipulación do seu rexistro de licenza, así como do número asignado para a súa inscrición.
La contraseña de direccion es: |O contrasinal da dirección é:
Maximo 8 caracteres|Máximo 8 caracteres
Confirme la contraseña|Confirma o contrasinal
Ingrese la contraseña nueva|Introduce o novo contrasinal
Ingrese la contraseña anterior|Introduce o contrasinal anterior
Recordatorio de contraseña de direccion|Recordatorio de contrasinal de enderezo
Cambio de contraseña de direccion|Cambio de contrasinal de enderezo
Volver a intentar|Téntao de novo
Las respuestas introducidas no son correctas|As respostas ingresadas non son correctas
Para poder recordarle la contraseña de direccion es necesario que responda a las siguientes preguntas|Para poder lembra-lo contrasinal do enderezo tes que responder ás seguintes preguntas
Año|Ano
Mes|Mes
Dia|Día
Ingrese el segundo apellido de su madre|Introduce o segundo apelido da túa nai
Indique su fecha de nacimiento|Indique a súa data de nacemento
Si olvida la contraseña que acaba de introducir podra recuperarla respondiendo a las preguntas anteriores.|Se esquece o contrasinal que acaba de ingresar, pode recuperalo respondendo as preguntas anteriores.
La contraseña y las respuestas de recordatorio se han guardado correctamente.|As respostas de contrasinal e recordatorio foron gardadas correctamente.
Boletas|Boletas
Facturas|Facturas
codCliente|codClient
Cliente|Cliente
F.Pago|F. Pagamento
** clic en la lista o introduzca el numero de ticket|** Fai clic na lista ou introduce o número do billete
Ingrese el numero de ticket / factura|Introduce o número / factura do billete
Lista de las ultimas ventas|Lista das últimas vendas
Concepto del gasto|Concepto de gasto
Gastos Del Día|Gastos por día
Ultimos 50 gastos (clic para modificar)|Últimos 50 gastos (faga clic para modificar)
ESPACIO|ESPAZO
BORRAR|Eliminar
Deja en Caja :|Deixar en caixa:
Cerrar Ventas/Imprimir|Pechar vendas / imprimir
Observaciones de caja:|Observacións de efectivo:
Suma/Conteo de caja del turno actual|Suma / reconto de caso de cambio actual
Seleccione las monedas de su pais|Selecciona as moedas do teu país
Cargar monedas de la Zona Euro|Carga moedas da Eurozona
Valor n|Valor n
Terminal = XXX|Terminal = XXX
Total monedas|Moedas totais
Total tarjetas|Tarxetas totais
Total otras formas de pago|Total outros métodos de pago
Caja Inicial:|Efectivo inicial:
Num total de operaciones de este terminal|Número total de operacións deste terminal
Num total operaciones otras formas pago|Número de operacións totais outras formas de pago
Num total operaciones tarjeta|Operacións totais de tarxetas
Num total operaciones contado|Operacións totais contadas
Max. 20|Máx. 20
Número de tipos de moneda a utilizar:|Número de tipos de moeda a empregar:
Seleccione las monedas en circulacion de su pais|Selecciona as moedas en circulación do teu país
Tipo 20|Tipo 20
Nota: Esta opcion solo esta pensado para aquellos clientes que en su pais el valor de sus monedas es diferente al establecido para la zona Euro.|Nota: Esta opción só está destinada a aqueles clientes que no seu país o valor das súas moedas é diferente do establecido na zona euro.
Importe a Retirar|Importe para retirar
Retiradas|Retirada
TELEF|TELEF
Borrando|Borrado
Hora Reserva|Tempo de reserva
Nro comensales|Sen comensais
Todos|Todo
Cena|Cea
Almuerzo|Xantar
Desayuno|Almorzo
MESAS =|TABLES =
H O R A S|H O R A S
Seleccione Horario|Seleccionar horario
*Clic para seleccionar salon|* Fai clic para seleccionar a sala
R e s e r v a s|R e s e r v a s
Diseñar Plantilla reserva|Libro de modelos de deseño
Nueva Reserva|Nova reserva
Hora de Reserva|Tempo de reserva
Nro de Comensales|Número de comensais
Teléfono|Teléfono
* Click en la columna de telefono para ver la direccion|* Fai clic na columna de teléfono para ver a dirección
Resultado de la Búsqueda|Resultado da busca
Movil|Móbil
C. Postal|C. Postal
Limpiar|Limpo
DNI|ID
Puerta:|Porta:
Fijo / Movil|Fixed / Mobile
Piso:|Piso:
C. Postal:|C. Postal:
Número:|Número:
Email:|Correo electrónico:
Modificar Datos|Modificar datos
Nuevo Cliente|Novo cliente
Activar Precios para este terminal de venta|Activar os prezos deste terminal de vendas
Crear nueva o modificar una lista de precios existente|Crea novo ou modifica unha lista de prezos existente
Listas de Precios|Listas de prezos
Listas activa en este terminal|Listas activas neste terminal
Listas de precios no activa|Listas de prezos non activas
La lista de precios que ha seleccionado esta fuera del rango actual|A lista de prezos que seleccionaches está fóra do alcance actual
Nombre (click para seleccionar/desactivar)|Nome (fai clic para seleccionar / desactivar)
activa|activo
Fecha Alta|Data alta
Prod. en Lista|Prod. Na lista
Codigo Precio|Código de prezo
C. P.|C. P.
Cif / Dni|CIF / Dni
Realizando cambios|Facer cambios
alturapanel|alturapanel
Los mismos pasos 1, 2 para margen comercial o precio de venta.|Os mesmos pasos 1, 2 para marxe comercial ou prezo de venda.
* Clic sobre el impuesto que desea cambiar|* Fai clic sobre o imposto que queres cambiar
De:|De:
Cambio el valor de los impuestos|Cambia o valor dos impostos
Deseo cambiar|Quero cambiar
a:|a:
Nro. de Productos|Nº de produtos
2.-Luego seleccione el proveedor o seleccione la opcion todos.|2.-A continuación, seleccione o provedor ou seleccione a opción todos.
Con redondeo|Con redondeo
Sin redondeo|Sen redondeo
Todos los productos|Todos os produtos
Productos del Proveedor|Produtos do Provedor
Coste|Custo
Cambio de Coste / Precio|Cambio de custo / prezo
1.-Si desea aumentar el coste, solo debe ingresar el porcentaje en la caja del mismo.|1.- Se queres aumentar o custo, introduce a porcentaxe na caixa.
Recuerde que este proceso es irreversible. Confirme y  verifique los porcentajes que está aumentando.|Lembre que este proceso é irreversible. Confirma e verifica as porcentaxes que están a aumentar.
Este proceso automatiza el aumento de precio, margen comercial y coste de los productos.|Este proceso automatiza o aumento do prezo, marxe comercial e custo dos produtos.
Aumento de Precios|Aumento de prezos
Nombre Servidor SQL Server|Nome do servidor SQL Server
Utilizar  SQL   Server . . . . . |Use SQL Server . . . .
UTILIZAR SQL SERVER|USE SQL SERVER
Más Información|Máis información
Dirigido para aquellas empresas con volumenes de datos altos o muchas interacciones simultaneas soporta varios PC conectados en red sin problemas de concurrencias y trafico de datos. (si este es su caso nuestro programa funciona perfectamente con este ges|Dirixido a aquelas empresas con altos volumes de datos ou moitas interaccións simultáneas, soportan varias computadoras en rede sen problemas de concurrencia e tráfico de datos. (Se este é o teu caso, o noso programa funciona perfectamente con este
SQL SERVER|Servidor SQL
Indicado para empresas con volumen de datos bajos 1 o 2 PC en red.|Indicado para empresas con baixo volume de datos de 1 ou 2 PC en rede.
ACCESS|ACCESO
El Tipo de Base De Datos Que Su Negocio Necesita|O tipo de base de datos das súas necesidades comerciais
Pasar a la version Basica o Completa|Vaia á versión básica ou completa
Configure los Horarios de su establecimiento|Configurar os horarios do seu establecemento
Label2|Etiqueta2
a |a
El Horario del Establecimiento es:|O horario de establecemento é:
El Horario de Cocina es:|A horta de cociña é:
Seleccione el Horario del Establecimiento|Selecciona o horario de establecemento
Seleccione el Horario de Cocina|Selecciona o horario de cociña
4.- Solo le recomendamos que contrate este servicio y utilice esta opcion si solo si su empresa verdaderamente lo necesita, por nuestra experiencia el 90% de los usuarios de Puntos de Venta del sector retail no necesitan tener esta base de datos instalada|4.- Só recomendamos contratar este servizo e usar esta opción se só se a túa empresa o necesita de verdade, da nosa experiencia o 90% dos usuarios de Puntos de Venda no sector de venda polo miúdo non necesitan ter esta base de datos instalada
3.- Tiene que indicarnos los nombre de los usuarios que utilizaran el programa para crear los usuarios en la base de datos. (este servicio incluye 3 usuarios si desea mas usuarios el coste es de 5 Euros por cada uno)|3.- Debes indicar os nomes dos usuarios que usarán o programa para crear os usuarios na base de datos. (este servizo inclúe 3 ​​usuarios se desexa máis usuarios o custo é de 5 euros cada un)
2.- Tiene que tener instalado el TeamViewer para que un tecnico pueda conectar a instalar la BD y dejarle el programa funcionando en Sql Server|2.- Debe ter o TeamViewer instalado para que un técnico poida conectarse para instalar o BD e deixar o programa en execución en Sql Server
1.- Este servicio tiene un coste de 75 Euros + Iva|1.- Este servizo ten un custo de 75 euros + IVE
Si desea utilizar el programa con Sql Server un tecnico de nuestra empresa se lo puede instalar. Pasos que tiene que tomar en cuenta.|Se queres usar o programa con Sql Server, un técnico da nosa empresa pode instalalo. Pasos que debes ter en conta.
Requisitos Para Usar Sql Server|Requisitos para usar o servidor SQL
Numero de Ventas Menores A: |Número de vendas menores A:
Seleccione de que terminal quiere obtener la información|Seleccione a partir do terminal onde desexa obter a información
Servicios|Servizos
Completo|Completa
Total General|Total xeral
Total Gastos|Gastos totais
C. Inicial|C. Inicial
Total Retiradas|Retirada total
Totalizado por Forma de Pago|Totalizado mediante Formulario de pagamento
Ventas Generales por Dia|Vendas xerais por día
Esta Forma de Pago es de tipo Tarjeta|Este método de pagamento é tipo de tarxeta
Nueva Observación|Nova observación
comensal|comensal
Observacion|Observación
estado|estado
idenvio|idenvio
Seleccione la observacion que desea eliminar del panel de arriba|Selecciona a observación que queres eliminar do panel anterior
Observaciones a Cocina|Observacións á cociña
Posicion|Posición
Escriba la nueva observacion|Escribe a nova observación
Eliminar Observación|Eliminar a observación
Seleccione Mesa Destino|Seleccionar a táboa de destino
Total Cuenta Origen|Total da orixe da conta
Seleccione Mesa A Juntar|Seleccione a táboa para unirse
Seleccione Salon Destino|Seleccione Salon de destino
Seleccione Salon|Seleccionar salón
Pedidos en Reserva|Pedidos en Reserva
Fecha Seleccionada|Data seleccionada
Total Reservas|Reservas totais
Reservas Activas|Reservas activas
N. Pedido|Orde N.
Fecha Entrega|Data de entrega
Hora Entrega|Prazo de entrega
Observaciones|Observacións
Fecha de Entrega|Data de entrega
Hora de Entrega|Prazo de entrega
Contraseña = |Contrasinal =
Zona|Zona
Venta Original|Venda orixinal
Total Cuenta Parcial|Conta parcial total
Escriba la clave de gerencia|Introduce a clave de xestión
